"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.7549905609078,12.6882424143218
"ak02",13.1,13.3532372050898,13.3477710435648
"ak03",12.7,12.4972214800473,12.3323779814517
"ak04",10.2,10.6881146581941,10.7882116604136
"ak05",11.4,12.7294200585962,12.8453214735129
"ak06",10.7,11.1460723796081,11.2347334280806
"ak07",11.5,11.7294608035173,11.6501361840237
"ak08",11.6,11.3297422645805,11.2722190415598
"ak09",11.6,11.456142991903,11.4015817105482
"ak10",11.2,11.616166186987,11.8073068479127
"ak11",13.9,13.5866662912671,13.5112858102977
"ak12",10.6,10.837674240313,10.9197426797225
"ak13",12.4,12.2203883276315,12.3651344691656
"ak14",11.1,11.3101823539141,11.5986267845204
"ak15",11.4,11.2876789614381,11.1165543139858
"ak16",12,11.5917057606838,11.5825106455082
"ak17",14.2,13.5673679765435,13.5636053145009
"ak18",12.1,11.1375000260757,10.9418863575013
"ak19",12.2,12.1448807092443,12.0857159638959
"ak20",11.5,11.3125279307413,11.4174408268693
"ak21",10.4,10.8145329708914,11.1010808304659
"ak22",11.2,10.9687968614227,10.9632510810766
"ak23",12.6,12.4083019274128,12.317795605276
"ak24",11.7,11.8087398117432,11.880320258837
"ak25",12.9,13.4231468228487,13.5546686292052
"ak26",12.3,12.3812917064969,12.3826903066664
"ak27",11.3,11.4224689437354,11.356979280309
"ak28",13.8,14.1663934551578,14.2043086286134
"ak29",13.3,12.9553112711327,12.8737737426011
"ak30",12.1,12.0145886220716,11.9329531249298
"ak31",12,12.289111889964,12.2224446310509
"ak32",13.9,13.4160968368508,13.3288222600036
"ak33",10.7,10.8388247209397,11.0739129107266
"ak34",12.2,11.5327485439934,11.6208709791769
"ak35",11.8,11.5024140302401,11.5726889874613
"ak36",10.9,11.0535496686757,11.1368249274991
"ak37",11.6,12.9689566078457,13.2254341919073
"ak38",11.6,11.9016902937678,11.8594702666525
"ak39",11.4,10.8278899353705,10.733436859342
"ak40",13,13.3507501579501,13.2112991866361
"ak41",11.8,12.1854312483942,12.1936145232298
"ak42",11.1,11.3215550627909,11.3834433959922
"ak43",11.7,11.6690612984598,11.6627919967429
"ak44",10.7,11.873781577466,12.0639804009237
"ak45",12.8,12.1953692576413,12.0403737999889
"ak46",12.8,12.729435035292,12.7538994773369
"ak47",13.1,12.1343545285538,11.9096203261
"ak48",13,12.3925674736792,12.3466194354354
"ak49",12.9,12.4299778314305,12.3800469306634
"ak50",14.7,13.8257204404976,13.4831893245251
