"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.2754851048372,12.1621760434504
"ak02",13.1,14.0323631860207,13.9518097595559
"ak03",12.7,12.5235560372274,12.3142311256884
"ak04",10.2,10.838581290534,11.1406204717188
"ak05",11.4,12.3396808606973,12.5321881794911
"ak06",10.7,11.2291900358702,11.5088546571291
"ak07",11.5,11.8592848536512,11.9249322332026
"ak08",11.6,11.3926100491968,11.3524834320537
"ak09",11.6,11.1984959757957,11.2298629446242
"ak10",11.2,11.9409045056236,12.1474809803657
"ak11",13.9,13.9574896555665,13.6859638503773
"ak12",10.6,10.5327192557025,10.6812159633123
"ak13",12.4,11.9758446972199,11.6851604404712
"ak14",11.1,11.3024941000618,11.852619818892
"ak15",11.4,10.8303853790034,10.6344943588714
"ak16",12,11.9721424386398,12.0147068344536
"ak17",14.2,13.6812898281797,13.4795053222948
"ak18",12.1,11.1052643727867,10.8153716710139
"ak19",12.2,12.0733669174878,12.0568398623101
"ak20",11.5,11.4443903427025,11.5067277795029
"ak21",10.4,10.3668551635805,10.6936955240868
"ak22",11.2,11.28265762833,11.4506524232635
"ak23",12.6,12.5731281805323,12.2187219467905
"ak24",11.7,11.7992396096601,11.7136491526314
"ak25",12.9,13.032891377105,13.1368627678908
"ak26",12.3,12.3242958596878,12.2909942548703
"ak27",11.3,11.2122471213355,11.0648745866987
"ak28",13.8,13.7343953412971,13.6135124331976
"ak29",13.3,12.6759355343357,12.3033466853711
"ak30",12.1,11.7244808768313,11.6184221983232
"ak31",12,11.3035612661745,11.1145989760524
"ak32",13.9,12.9245698819543,12.5191041035692
"ak33",10.7,11.138799338815,11.3480558775326
"ak34",12.2,11.8574468238098,12.2038966089697
"ak35",11.8,11.6897898417566,11.7176549233953
"ak36",10.9,11.0512834898843,11.3451551076317
"ak37",11.6,12.5029170655308,12.7423659461611
"ak38",11.6,11.6049133922516,11.6234120064744
"ak39",11.4,11.343866065208,11.3642323548829
"ak40",13,13.2809191920091,13.2020992254707
"ak41",11.8,11.9641098613796,12.0572343594994
"ak42",11.1,11.4130109853638,11.6310813468061
"ak43",11.7,11.9540699545522,11.9684337660742
"ak44",10.7,11.5460882035438,12.1169984830224
"ak45",12.8,12.7512140154587,12.3802849224817
"ak46",12.8,12.8207770673271,12.7753688587788
"ak47",13.1,13.0122742932376,12.8012886880369
"ak48",13,12.5215424080865,12.3014779656567
"ak49",12.9,12.8330734288266,12.7966810395693
"ak50",14.7,14.35410784533,13.9259224306666
