"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.1490874837065,12.1296338204651
"ak02",13.1,13.8022692067163,13.627045843395
"ak03",12.7,12.1269896379866,11.9546703972987
"ak04",10.2,10.9274507537366,11.05996274166
"ak05",11.4,12.2283755910443,12.3802762086691
"ak06",10.7,11.2605875645436,11.4963422780317
"ak07",11.5,11.9107921109218,11.9310502040363
"ak08",11.6,11.1367240225157,11.0566251185993
"ak09",11.6,11.1943155329197,11.3363044614206
"ak10",11.2,11.6102337807223,11.7330717132846
"ak11",13.9,13.9708052947136,13.7505337314248
"ak12",10.6,10.3750872629457,10.5095782299241
"ak13",12.4,12.0602006928661,11.9210103977237
"ak14",11.1,11.1755659059927,12.0321957279215
"ak15",11.4,10.6118281778723,10.7967959209813
"ak16",12,11.8440831361907,11.8472417309062
"ak17",14.2,13.5625490268692,13.3644051702416
"ak18",12.1,10.9710179161137,10.7430180805419
"ak19",12.2,11.9746999029996,12.0023258165706
"ak20",11.5,11.2647364616313,11.1480958899169
"ak21",10.4,10.3266343449699,10.5374593365951
"ak22",11.2,11.4235550679103,11.6001238138501
"ak23",12.6,12.9507568750219,12.6602089451488
"ak24",11.7,11.5197614604239,11.5634233250872
"ak25",12.9,12.8801960899915,12.9220178010412
"ak26",12.3,12.6614524885871,12.6225625185947
"ak27",11.3,11.5038490763755,11.4555676035123
"ak28",13.8,13.5616798793327,13.421583181811
"ak29",13.3,13.0812256830857,12.9210464073802
"ak30",12.1,11.8851742747779,11.6481918996009
"ak31",12,11.7825735470962,11.7524840153625
"ak32",13.9,12.8167351773266,12.4589356267122
"ak33",10.7,11.1919041676034,11.4209890044255
"ak34",12.2,12.0279089586994,12.2369968199093
"ak35",11.8,11.7545815394237,11.6282589682218
"ak36",10.9,11.4740138929176,11.7548997076788
"ak37",11.6,12.6447994789024,12.9114374527217
"ak38",11.6,11.6927026870234,11.7296937017765
"ak39",11.4,11.6244927545271,11.8141531589311
"ak40",13,13.4021176632506,13.3190132168119
"ak41",11.8,11.9951788003123,11.98932349547
"ak42",11.1,11.5816332497464,11.8773198757151
"ak43",11.7,11.8094772926257,11.8497109262798
"ak44",10.7,11.5006668943762,12.214173824509
"ak45",12.8,12.5998144499249,12.3469379322077
"ak46",12.8,12.9490971312611,12.9188563330889
"ak47",13.1,12.6195302259756,12.5142075575782
"ak48",13,12.574583544656,12.3723172835429
"ak49",12.9,12.7826950479704,12.730218311314
"ak50",14.7,14.3238087928961,14.0395844190694
