"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"1100",-0.0448846146703208,0.0202872964023461,0.0138784817658982,-0.00339263602633904,-0.0222597439800796,-0.0235649190394462,0.0202756270290347
"1102",-0.0449584785007527,0.0202186596308647,0.0137305108835793,-0.00343491519263483,-0.022133106696199,-0.0235607460668598,0.0196394750765453
"1104",-0.0450379291921146,0.0201426237862635,0.013559887344924,-0.00349156862721989,-0.0220081842869697,-0.0235280614359992,0.0191022755632594
"1106",-0.0451231969159581,0.0200588795847842,0.0133658227257006,-0.0035629864993328,-0.0218847494867448,-0.0234662234204359,0.0186649073183917
"1108",-0.0452145330738934,0.0199670756684948,0.0131474128566719,-0.00364962704004614,-0.0217625712323684,-0.0233744539621809,0.0183286646021452
"1110",-0.0453122120306335,0.0198668146415784,0.0129036278500725,-0.00375202180612284,-0.0216414128174532,-0.0232518285870216,0.0180952800382431
"1112",-0.0454216696733235,0.0197522513700343,0.0126218400396713,-0.0038834616920734,-0.0215156313722929,-0.0230590414566093,0.0180955894289861
"1114",-0.0455309169474536,0.0196352324354847,0.0123321490244839,-0.00402408517873033,-0.0214038833346661,-0.0228557707989396,0.0181798440962881
"1116",-0.0456460342032021,0.0195096451794675,0.0120203922235061,-0.00417330562189943,-0.0212965756565083,-0.0226553502730615,0.0182386984336287
"1118",-0.0457756500068857,0.0193666541676308,0.0116624221308221,-0.00433568552258736,-0.0211828852266877,-0.0224856408033033,0.018078007757703
"1120",-0.045921450217032,0.0192065643487641,0.0112531171264528,-0.00450816277445918,-0.0210351983187107,-0.0223417315149765,0.0176356177454465
"1122",-0.0460900936774579,0.0190218855738419,0.0107729452678735,-0.00469474543273622,-0.0208281633240983,-0.0221819340187184,0.016973428665356
"1124",-0.0462897180834501,0.018801314765315,0.0101871067325969,-0.00492234775059239,-0.0205744523052548,-0.0219880947044228,0.0161238833613818
"1126",-0.046519069930668,0.018544566107036,0.00946752349701239,-0.00520944298830671,-0.0202780255098529,-0.0217266844140062,0.0151842879063929
"1128",-0.0467727430898733,0.0182559829000919,0.00858824789480441,-0.00555715740199694,-0.0199186897616292,-0.0213351540696199,0.0143483104712915
"1130",-0.0470439713921279,0.0179405716852841,0.00752403601536629,-0.00596713144402402,-0.0194844896306939,-0.0207872154161516,0.0136203193580686
"1132",-0.0473251768313714,0.0176022887215635,0.0062493237101609,-0.00644500637264521,-0.0189667753453101,-0.0200765902081113,0.0129370694460431
"1134",-0.0476081704344321,0.0172429144176476,0.00473582692010768,-0.00699810299642122,-0.0183587003033701,-0.019184797994629,0.0122989024058884
"1136",-0.0478739000489454,0.016875372717323,0.00296909744168298,-0.00762261799944385,-0.0176454822632809,-0.0180622116362197,0.0117997268117267
"1138",-0.0480928618343471,0.0165234614984631,0.000951193459059054,-0.00830460082767495,-0.0168030507432075,-0.016649923834424,0.0115852360075415
"1140",-0.0482260762766053,0.0162220937922343,-0.00128957357263722,-0.00900898771491643,-0.0157955476313765,-0.0148820652901366,0.0118202058798369
"1142",-0.0482298389046086,0.0160123570834947,-0.00370172697439598,-0.0096914743604892,-0.0145856065758167,-0.0126857669471089,0.0127421070223082
"1144",-0.0480595525018208,0.0159392552694769,-0.0062085907842498,-0.0103033446780854,-0.013136222757026,-0.0100303683756697,0.014520201750915
"1146",-0.0476658381347909,0.016060832142473,-0.00869289972552538,-0.0107771564681691,-0.0113982858255194,-0.00692710750205021,0.0172495464520843
"1148",-0.0470107706095925,0.0164294475736498,-0.01101993503768,-0.0110624414763977,-0.00937273075983889,-0.0034823980404913,0.020860180776154
"1150",-0.0460756266954213,0.0170855030941985,-0.0130440186986049,-0.0111225436700353,-0.00710360824469696,0.000146685803835903,0.025125781528917
"1152",-0.0448676369617877,0.0180483645714129,-0.0146310937565539,-0.0109277670697331,-0.00462857971717931,0.00381441152173194,0.0298323067865641
"1154",-0.0434373939878891,0.0192853745891886,-0.0157209068793451,-0.0105021830713992,-0.00203547435316942,0.00733114477853745,0.0345976112251853
"1156",-0.0418505474260501,0.0207442053017377,-0.0163017698101593,-0.00989457707009892,0.000563990728505878,0.0105256835989076,0.0390550818369327
"1158",-0.0401727651616583,0.0223657515468356,-0.0164072212291921,-0.00915666474210058,0.00306272836408786,0.013255276591434,0.0428240327362275
"1160",-0.0384659838505532,0.0240825825207523,-0.0161197693396547,-0.008350745567559,0.00536426207438376,0.015446713850423,0.0455818320551528
"1162",-0.0367838743487689,0.0258271932203009,-0.0155421407993459,-0.00752379717947738,0.00743703135743958,0.0171624153816831,0.0474669297582838
"1164",-0.0351591892237198,0.0275505295081016,-0.0147733996137469,-0.00670594900654246,0.00928748618657402,0.0184608712636968,0.0486193738142374
"1166",-0.0335964760556044,0.0292351923274731,-0.0138829001111088,-0.00590471398041311,0.0109441344689522,0.0194283898008318,0.0491743379725016
"1168",-0.0320821784510717,0.0308852912078854,-0.0129152775584808,-0.00511707910163504,0.0124386430075166,0.020144955779097,0.0492939430684639
"1170",-0.0305975338578423,0.0325138106242961,-0.0118936498793511,-0.00432585972136079,0.013829286445787,0.0207529820367504,0.0492716379376898
"1172",-0.0291264928970374,0.0341311391342931,-0.010834155921209,-0.00350420078049607,0.0151986361736033,0.0214236497718126,0.0494226016656769
"1174",-0.0276650513927536,0.0357315733734204,-0.00977009658757896,-0.00265689070268111,0.0165797094714264,0.022183582639191,0.0497502184211071
"1176",-0.0262119739294402,0.0373104855810835,-0.00872135896673991,-0.00178934086586803,0.018001963229242,0.0230429182714975,0.0502571575479395
"1178",-0.0247693366475233,0.0388617623276317,-0.00770211052727236,-0.000912329212257589,0.0194702969908018,0.0239769919502633,0.0508916145609313
"1180",-0.0233396017802233,0.0403778490510704,-0.00673012614345667,-4.25720352043722e-05,0.0209713320224516,0.0249714155229557,0.0515977560092664
"1182",-0.0219401434264272,0.0418389651978163,-0.00582044204545066,0.000807321028191176,0.0224939527781128,0.0260273201517398,0.0524158202693903
"1184",-0.0205977005291806,0.0432191724640404,-0.00498460617933849,0.00159871486540645,0.0239734142867689,0.0270272377496138,0.0530496292400941
"1186",-0.0193282421327084,0.0445090593022973,-0.00421348800500028,0.00232293468874116,0.0253657740174335,0.0278949113421905,0.0533367090557474
"1188",-0.0181395577751087,0.0457116912127583,-0.00348294565941724,0.00300262929639799,0.0266863052307356,0.0287000419637006,0.0535367784566321
"1190",-0.0170579374214947,0.0468058740231586,-0.00279715286634453,0.00361328532432872,0.0278919908419336,0.0293932504129847,0.0535548601482234
"1192",-0.0161165487618133,0.0477612234011073,-0.0021734211084316,0.00413979665498929,0.028939168153696,0.0299126676981069,0.0532792654698831
"1194",-0.0153254318204331,0.048576695133182,-0.00159754280649288,0.00459611139339948,0.0298330022327818,0.0302801061291273,0.0527598021946233
