"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.4140209028263,12.2076039967168
"ak02",13.1,13.2465579662482,13.3378986541801
"ak03",12.7,12.2615011189104,12.0236825760705
"ak04",10.2,10.6004696643981,10.6553393580037
"ak05",11.4,12.5626135329828,12.8474540878192
"ak06",10.7,11.3441479299205,11.4409583765562
"ak07",11.5,11.756228345168,11.6761436653118
"ak08",11.6,11.6477485324056,11.5911746483837
"ak09",11.6,11.0017656525144,10.8672913711061
"ak10",11.2,11.3953134162572,11.4099265833232
"ak11",13.9,13.6930690285664,13.7460079819782
"ak12",10.6,11.0227403897918,11.1544467051241
"ak13",12.4,12.2892487944032,11.9799497755086
"ak14",11.1,11.5789899030976,11.8317559548334
"ak15",11.4,11.0433988840192,10.8198731533005
"ak16",12,11.7327889997658,11.6434245132807
"ak17",14.2,13.5802601618957,13.6220201660679
"ak18",12.1,11.3123546260505,11.1617285608879
"ak19",12.2,11.7639008832425,11.7089303069566
"ak20",11.5,11.3630064666844,11.3283501814247
"ak21",10.4,10.3350473217761,10.4803036643871
"ak22",11.2,11.2616654799286,11.3163160879028
"ak23",12.6,12.7361588949442,12.6929936417862
"ak24",11.7,11.4920172668957,11.4904877265649
"ak25",12.9,13.3072707715134,13.4935210662945
"ak26",12.3,12.5201323086977,12.6253711945441
"ak27",11.3,11.6083369099732,11.6478555087473
"ak28",13.8,13.72890403555,13.6826428787055
"ak29",13.3,12.8081706176512,12.7628664742798
"ak30",12.1,11.7524115602092,11.7414117551443
"ak31",12,12.0285155976567,12.2080276214824
"ak32",13.9,13.5750409602222,13.4585761393024
"ak33",10.7,11.0848795988751,11.2739026066297
"ak34",12.2,11.6285221598119,11.7206913178265
"ak35",11.8,11.6396191005832,11.6818988655174
"ak36",10.9,11.5680790248409,11.7758258217792
"ak37",11.6,13.2112445323085,13.542362818932
"ak38",11.6,12.0663653975629,12.0818434282199
"ak39",11.4,10.8306981567182,10.8950865912073
"ak40",13,13.1683233001188,13.1462085924671
"ak41",11.8,11.7690953526857,11.8105187568467
"ak42",11.1,11.1968971636031,11.2372483184524
"ak43",11.7,11.4010066128763,11.3072020297597
"ak44",10.7,11.6002775112445,11.8115002728058
"ak45",12.8,12.2140583296795,11.9053338992505
"ak46",12.8,13.028435297997,13.164537140932
"ak47",13.1,12.2054160998122,12.0720040543787
"ak48",13,12.695368109383,12.6316184795273
"ak49",12.9,12.7702904959268,12.7949714236379
"ak50",14.7,14.2576268318056,14.0238534806065
