"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9","Comp 10"
"1100",3.16969292318493,2.30813574191348,2.0048859295837,1.85613105638438,1.82287328004968,1.78851665975058,1.79734628977265,1.93820453885392,1.92661730988228,1.92340138905004
"1102",3.16589520020474,2.30506271413931,2.00020572777849,1.85177986536985,1.81855052766606,1.78423664083508,1.79294383452528,1.93307030579801,1.92147265292086,1.91821289089873
"1104",3.14958575386532,2.29099101206155,1.97526888072223,1.82860270616009,1.79568703569946,1.76156265563495,1.76950516499999,1.90830688236488,1.89642375892841,1.89347811877529
"1106",3.12731791053341,2.27151798215523,1.93953719902653,1.79538232867705,1.76310128058351,1.72908422015343,1.73551511078504,1.87493874998555,1.8622723661353,1.86075145937673
"1108",3.10754431198333,2.25465111397873,1.91026767683699,1.76816227138546,1.73574490470157,1.70194210249102,1.707290800255,1.84518727615721,1.83224300087324,1.83147181444185
"1110",3.08950197668766,2.23837539078953,1.87938308921693,1.73941654865795,1.70700058641596,1.67376715834191,1.67873014253319,1.81230027383931,1.79955300304345,1.79852854099792
"1112",3.07063516249493,2.22096791301433,1.84413560042128,1.70657984305748,1.67533015253802,1.64268731931269,1.64753758244865,1.77587020680275,1.76354109755939,1.76209204274242
"1114",3.04733830830072,2.20122449016116,1.80875772220374,1.67366505908822,1.64352867062788,1.61167228060276,1.61686913822716,1.73741609045385,1.7259768412966,1.72369233996379
"1116",3.02129930406301,2.17986974019773,1.77293184522776,1.64040944981879,1.61067556331459,1.57978118020928,1.58546339372239,1.69745609567609,1.68692709956073,1.68408713535939
"1118",2.99417112338002,2.157241484889,1.73397012862313,1.60426797789017,1.57501393469774,1.54477543862154,1.54998587728688,1.65792634761959,1.64725908611332,1.6449397007402
"1120",2.96537352384221,2.13244401841502,1.68946426489976,1.56299180164987,1.53460154968918,1.50479902698563,1.50876355308414,1.61589893959111,1.6045595023664,1.60366986504237
"1122",2.93171388796351,2.10347254228389,1.637917078005,1.51522011034567,1.48792621466072,1.45861804847631,1.46125751344902,1.56708545322009,1.55548804894433,1.55620634813884
"1124",2.88908148058229,2.06806857784074,1.57861910551147,1.46033588325395,1.43408063435059,1.40555402173607,1.40709067051583,1.50905877467096,1.49773609359477,1.49977875804111
"1126",2.8361184696875,2.02492507097298,1.50929775207616,1.39627524204516,1.37107482869437,1.34358624647335,1.34414871543411,1.43995707463822,1.42926341679336,1.4325197868149
"1128",2.77094084170081,1.97275592193905,1.42985000246343,1.32299900268722,1.29866986691866,1.27251445219455,1.27222469906936,1.35909682784691,1.34925631535925,1.35322855499098
"1130",2.69168209953748,1.91055788050979,1.34072660578706,1.24100529958241,1.21753574958817,1.19295609255734,1.19184414095021,1.26771156766507,1.2588995710899,1.26323773216664
"1132",2.59711086602623,1.83766287484641,1.2435521506219,1.1519458253106,1.12944847280931,1.10652887287905,1.10450910094117,1.16848386583684,1.16108125994813,1.1660997881391
"1134",2.48611334735646,1.75374399903791,1.14238090463292,1.05968191992407,1.03777663315635,1.01656578546781,1.01370018859123,1.06474338934485,1.05914719541593,1.06495381031882
"1136",2.35969313073057,1.65982804772635,1.04306902826317,0.969730266417393,0.947717680437415,0.928317391542347,0.924906582434293,0.960830487342164,0.957124410829551,0.963208574083102
