"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.3779108559485,12.2989367800241
"ak02",13.1,13.1949636393148,13.1740654516613
"ak03",12.7,12.2434115172159,11.9206207626952
"ak04",10.2,10.3436879304585,10.4067268100264
"ak05",11.4,12.5353991490479,12.6671429860402
"ak06",10.7,11.0601379366603,11.1446278356315
"ak07",11.5,11.8434634642065,11.8405478257891
"ak08",11.6,11.4246990214364,11.3835827515592
"ak09",11.6,11.3023307285552,11.0829310106461
"ak10",11.2,11.7853512019778,11.8804973208057
"ak11",13.9,13.9631430084574,14.0222984873028
"ak12",10.6,10.9414271337577,11.2459362913837
"ak13",12.4,12.3776875981505,12.3754042445845
"ak14",11.1,11.5711024389262,11.6793815453381
"ak15",11.4,11.2060353845037,11.188740288555
"ak16",12,11.7796235843229,11.731031453822
"ak17",14.2,13.3545550199594,13.2621882195734
"ak18",12.1,11.3106919147373,11.1213894009723
"ak19",12.2,12.2428380325319,12.1413808240623
"ak20",11.5,11.3060004672904,11.3145337117128
"ak21",10.4,10.2720517407686,10.2642319328732
"ak22",11.2,11.2168098744768,11.1762897324058
"ak23",12.6,12.6123496818356,12.6072372813195
"ak24",11.7,11.6953456570926,11.7135246548766
"ak25",12.9,12.8970446548845,13.0016240160591
"ak26",12.3,12.3328587956141,12.3325415285113
"ak27",11.3,11.299663947221,11.3482503263426
"ak28",13.8,13.8494828989807,13.869166994823
"ak29",13.3,13.2185253819363,13.0949064550528
"ak30",12.1,11.6832216327601,11.6529901581563
"ak31",12,12.3344259701577,12.4404657169363
"ak32",13.9,13.5963861932937,13.4703306319682
"ak33",10.7,10.8946847541657,11.0934306832579
"ak34",12.2,11.7914349211257,11.8717820029051
"ak35",11.8,11.3435411131815,11.3059880375591
"ak36",10.9,11.2479284180946,11.4009956418241
"ak37",11.6,12.5264951288144,12.6678577823965
"ak38",11.6,11.4968232395421,11.4750877225942
"ak39",11.4,10.6581577469451,10.2866200022362
"ak40",13,13.385313047002,13.3939048542435
"ak41",11.8,12.2649443031909,12.2819704370531
"ak42",11.1,11.3774680477879,11.5345892928398
"ak43",11.7,11.5160542528364,11.3938814762667
"ak44",10.7,11.5791230958371,11.7713851029334
"ak45",12.8,12.3802919514759,12.3689944423337
"ak46",12.8,12.7527125025455,12.7450539548895
"ak47",13.1,12.7069430228231,12.5794014516716
"ak48",13,12.7837321925669,12.7239556112572
"ak49",12.9,12.6220606032326,12.5482424222618
"ak50",14.7,14.5996652023517,14.514022456561
