"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"750",-0.109642605479624,-0.0401852037970655,-0.0356832875877944,0.142191275447592,0.216129237774266,-0.139019123939615,-0.17915313905977,-0.157498949520934
"752",-0.109220066850709,-0.0393933401342895,-0.0313066979914168,0.141292753064976,0.210030228504407,-0.120263267808179,-0.144603419191468,-0.128884318321477
"754",-0.108848088944113,-0.0386957312585554,-0.0275675811204519,0.140113454597337,0.203536805062252,-0.102712195172989,-0.110933187118857,-0.101890064629711
"756",-0.108572428649605,-0.038177804643108,-0.0247258468151545,0.137627406447663,0.193205955945578,-0.091095346490807,-0.0901313880344846,-0.0889529660125503
"758",-0.108350548586371,-0.0377605430688624,-0.022364497252834,0.134496231968878,0.181224031018739,-0.0826280505660891,-0.0738441836622579,-0.0772820455188482
"760",-0.108186423806134,-0.0374516634078725,-0.0204708373029872,0.131117661546272,0.169573668341472,-0.074319989222518,-0.058007734350523,-0.0583495895022212
"762",-0.108056810057766,-0.0372076697378112,-0.0188644322045427,0.127673621804001,0.157378797512972,-0.0673479473593461,-0.0414086118267655,-0.0357226285413817
"764",-0.107951230694581,-0.0370090408764217,-0.0174366803542866,0.124176827869718,0.144539066267482,-0.0621480511432399,-0.0282918658870525,-0.0196278920165071
"766",-0.10789829261231,-0.0369090197013639,-0.0164142165422794,0.12020612535179,0.130582510353961,-0.0590559372156953,-0.0184428712685516,-0.00595037406037192
"768",-0.107878562696525,-0.0368711402820238,-0.015666909221833,0.115874757890801,0.115947840978198,-0.0567315706147564,-0.00925528850070254,0.00382946819889298
"770",-0.107884697622061,-0.0368825340058058,-0.0149674045380812,0.111618436882273,0.101242135962045,-0.0536310015695367,0.00453239325230542,0.0136450642523924
"772",-0.107906961329016,-0.0369254366262958,-0.0141817651859254,0.107547709704577,0.0843391158238773,-0.0540221656542124,0.0130948123319628,0.0129401071162909
"774",-0.107939102707413,-0.036987794898905,-0.013343901594208,0.103609577651531,0.0661366535976043,-0.0566592083720593,0.0177445852376064,0.00242946824219458
"776",-0.107987084301465,-0.0370813302667341,-0.0123804314608585,0.10004995924516,0.0478898829243444,-0.058849290983905,0.0237355770060955,-0.00453687471622868
"778",-0.108040324244022,-0.0371860442531312,-0.0112557670637729,0.0968810603673293,0.0313361626325926,-0.0586028669442544,0.0319189023221124,-0.0088362059244921
"780",-0.108080613688782,-0.0372673522105018,-0.00995375837762256,0.0941990689712849,0.0173406242572891,-0.0562220331404801,0.0421049411938301,-0.00113229253868388
"782",-0.108118653323981,-0.0373449810631434,-0.008614794087556,0.0920520361907122,0.00494922942778188,-0.0528632902543238,0.0510906554788968,0.00950218655216262
"784",-0.108167703838617,-0.0374431481007992,-0.00743325592353835,0.0899710584975922,-0.00780476735344809,-0.0504551813581201,0.0562396480187789,0.013797726216858
"786",-0.108212272177024,-0.0375331320842714,-0.00623421822942207,0.0880944550914674,-0.0198903076169764,-0.0473268806246444,0.0610512836387032,0.0170319951686813
"788",-0.108243468498225,-0.0375988922580366,-0.00481917560888357,0.0865233588142527,-0.0298210543336692,-0.0416037825930777,0.0715318221846214,0.0347860229192009
"790",-0.108268167412209,-0.0376531570506801,-0.0032661200805658,0.0853000321846056,-0.0376974945010719,-0.0341045598410654,0.0846761014381581,0.0630399223759356
"792",-0.108296386708287,-0.0377138092001593,-0.00183078745803216,0.083970759684288,-0.0472568980872192,-0.0298864165970435,0.0895754026336475,0.0678137748334532
"794",-0.108325955117479,-0.0377772157688891,-0.000409023570010635,0.0828708384843639,-0.0559134127002415,-0.0247798030797249,0.0943820382818844,0.0669615776184504
"796",-0.108336806890578,-0.0378058471738651,0.00116140803709036,0.0820248142669692,-0.0643143246529942,-0.020022982839474,0.0980364764723546,0.0710613573638831
"798",-0.108347935740263,-0.0378340183023397,0.00250829534146363,0.0809966519159089,-0.0725572698638058,-0.0158937122361464,0.10206099674814,0.0772794856420195
"800",-0.108346293693091,-0.0378370690641709,0.00371780284346106,0.079659704252818,-0.079105884924373,-0.0104126942441788,0.109840174927003,0.0903418748532099
"802",-0.10832041390032,-0.037793993733871,0.00496296650447732,0.0781953265440264,-0.084227012993106,-0.00350070158481678,0.116777426336796,0.0997320863154143
"804",-0.108287275038638,-0.0377352304454056,0.0058576830352412,0.0762930086376444,-0.0897160920621765,0.00119903825042017,0.118350451416804,0.100547834469246
"806",-0.108225006233828,-0.037620057703065,0.00660090487639371,0.0744059088641542,-0.093635419359707,0.0076340386711009,0.121470452069205,0.100706513592482
"808",-0.108152652453689,-0.0374842023665446,0.00708306666403961,0.0720261254332497,-0.097776322991807,0.0122757216492841,0.121599754167878,0.0949401496630111
"810",-0.108066576116928,-0.0373208828730299,0.00733168502414933,0.0694474754573067,-0.100458030392025,0.0178057161219075,0.125775543593227,0.0976981456431085
"812",-0.107966398677131,-0.037128665072535,0.00722420808776577,0.065981442017773,-0.103779582844771,0.0210425332322381,0.12294738143821,0.0877347179117076
"814",-0.107829853330779,-0.0368653854159335,0.00681907353265342,0.0621212989592704,-0.105443700208444,0.0246522003207309,0.118796151553158,0.0800817190517489
"816",-0.10767954346261,-0.0365730706338358,0.00585952190499753,0.0574716473284181,-0.107242954999639,0.0267590302215226,0.111509630799488,0.0659695130953355
"818",-0.107516260309598,-0.0362521229161016,0.00410897754675912,0.0518066129706018,-0.107536508931765,0.0295534654492607,0.10525009272364,0.0534978211354255
"820",-0.107320709805545,-0.0358660886927016,0.00159194039197722,0.0448714018384663,-0.107864567495679,0.029806495949464,0.0939081628393628,0.0360895244997469
"822",-0.107072130259295,-0.0353759487645516,-0.00165844977431339,0.0368422318841584,-0.106806653420343,0.0282586483899188,0.0784548568187529,0.0112840095307584
"824",-0.106758111386295,-0.0347582606116543,-0.00574318257299462,0.0274986584007835,-0.104471254523517,0.0243181469141731,0.0580906527623302,-0.0207144489768012
"826",-0.106384355602435,-0.0340261395494658,-0.0103983792227878,0.0177317951921989,-0.0987320297345812,0.0230668006487184,0.0441632353551972,-0.0447731254109747
"828",-0.105974502784099,-0.0332268122852507,-0.015272176759184,0.00793855244233138,-0.0896983263894732,0.0252138355938964,0.0363476455154778,-0.0671904079829957
"830",-0.105451065270801,-0.0322179165306216,-0.0194298845683948,-0.00163620250792213,-0.0831029341696066,0.023220418448127,0.0210311392438972,-0.0864044034942866
"832",-0.104902337227122,-0.031166099421364,-0.0230823301716713,-0.0102178861440797,-0.0745386856209621,0.0243300031175449,0.0126380210044181,-0.0955226008378604
"834",-0.1043432308871,-0.0301012292385695,-0.0257210935209225,-0.0172592572713814,-0.0646254026268757,0.029950053874034,0.0091925790491447,-0.0949187866986527
"836",-0.103803030728981,-0.0290788329143985,-0.0270531649883681,-0.0225756641042454,-0.0566290878837667,0.0360053459655524,0.00580633291678829,-0.0881546911698743
"838",-0.103297679655199,-0.0281264869085997,-0.0275327219792874,-0.0267510382061152,-0.0508696968767809,0.0403389773838249,0.000390406212450812,-0.0840873460435539
"840",-0.10282562792832,-0.0272400162439539,-0.0273606937964725,-0.030212579651683,-0.0469797236719855,0.0435573871465894,-0.00401472556203803,-0.0760053894623871
"842",-0.102402712591762,-0.0264481951544834,-0.0267056559762261,-0.0329773331025131,-0.0448438346890143,0.0465190274820637,-0.00734575270930887,-0.0579705372546454
"844",-0.102027843619864,-0.0257469758352901,-0.0260968276558585,-0.0355857147488262,-0.0436039424919955,0.0483351423434374,-0.00939138667267878,-0.0383321458842882
"846",-0.101699749597338,-0.0251330050889197,-0.0258153698378996,-0.0383113699130756,-0.0439780887707449,0.0485120461799352,-0.0133180802565804,-0.026102672979056
"848",-0.101379501637367,-0.0245341625685746,-0.0255405275775205,-0.0413431974943224,-0.0473832158976989,0.0448900051558469,-0.02088042287047,-0.010566203479467
"850",-0.101075596845466,-0.0239663476023382,-0.0252532168747847,-0.0441492851441503,-0.0504313517880956,0.0413511471127142,-0.0310748560947224,-0.00429930721146307
"852",-0.100793180800572,-0.0234386840479319,-0.0251237340641456,-0.0473183408619131,-0.0547293136574476,0.0359472996079991,-0.044492763825866,-0.00571624004504384
"854",-0.10052196371044,-0.022931912130389,-0.0251394681992783,-0.0505959894098073,-0.0592410086457261,0.0300644087361946,-0.0560491627018377,-0.00750408264413343
"856",-0.100238019259992,-0.0224022408051313,-0.0249385578755537,-0.0533740519184558,-0.0628843797255148,0.0252012909962914,-0.0666028655581074,-0.00467979758936729
"858",-0.0999522687850255,-0.0218696111078941,-0.0247010822879903,-0.056012342174129,-0.066077879416796,0.0208091370769753,-0.076561562672562,-0.00343273531093195
"860",-0.0996536570491775,-0.0213135413172473,-0.024377330980789,-0.0586463956905964,-0.0698578220116212,0.0158072987194302,-0.085885476357691,0.0013723309003879
"862",-0.0993469501886271,-0.0207426092062228,-0.0241054288865148,-0.0611861110451549,-0.0732189616897466,0.011707485763202,-0.093821705783271,0.00447102186256646
"864",-0.0990087169059609,-0.0201136642733486,-0.023673792111682,-0.0636263297683031,-0.0754874058958937,0.00848430819759386,-0.100640350094374,0.00559291464437974
"866",-0.0986718512494085,-0.0194875056082073,-0.0233241596459879,-0.0661608305390621,-0.0779437442707218,0.00464819853444568,-0.107691347645677,0.00493469083546317
"868",-0.0982749690363409,-0.0187505035443479,-0.0228073017887795,-0.0687363288737156,-0.0808504963243561,-0.000385282558602702,-0.117876721039938,-0.0011378705367096
"870",-0.0978274614269646,-0.0179206449944854,-0.0219619533876254,-0.0709997985324402,-0.0825601801492671,-0.0040084733057723,-0.125834833566009,-0.00435532318363318
"872",-0.0973286031652803,-0.0169963685762788,-0.0209821565357148,-0.0731052452216407,-0.082677268051113,-0.00557317723588094,-0.129329548073893,-0.00438006999969353
"874",-0.0967962009702583,-0.016010870117146,-0.0199060639436027,-0.0751094451088846,-0.0827512601235844,-0.0074463289086367,-0.135164437775509,-0.00746657011719585
"876",-0.0962150821629332,-0.0149364791165026,-0.018549052892869,-0.0767829101492603,-0.0822817743553383,-0.00903379123636484,-0.141701381013273,-0.0154196668827577
"878",-0.095570913188936,-0.0137471199961665,-0.0167727032670004,-0.078142211824656,-0.0807974812774107,-0.00947253490357593,-0.147262833540275,-0.0229372050494547
"880",-0.0948732313386306,-0.0124604618044857,-0.0146953570796214,-0.0789383716598049,-0.0770826197521857,-0.00700722698164137,-0.149844582356603,-0.0263058683824232
"882",-0.094123619359881,-0.0110797929994269,-0.0122475332494952,-0.0794177768131381,-0.0730274659612852,-0.00441526417486701,-0.15345821846683,-0.0324059537964786
"884",-0.0933451168342273,-0.00964765120822558,-0.00955952171764051,-0.0796691796845246,-0.0687059675062602,-0.00123392445847944,-0.156135671029999,-0.0421634819690142
"886",-0.0925078634471785,-0.0081094515492172,-0.00629052590369991,-0.0789093518984974,-0.0618189850728658,0.00562170131496047,-0.153505279931454,-0.0424502184788132
"888",-0.0916198613274105,-0.00648009931321344,-0.00244613687509557,-0.07728084013663,-0.0531458435942762,0.0150687675276706,-0.148220748603478,-0.040930856957783
"890",-0.090691859647237,-0.00477941017172222,0.00185594436438586,-0.075013840460117,-0.0426245835103401,0.0271927203512176,-0.139533070294744,-0.0369488550843335
"892",-0.0897444969263094,-0.003045201944856,0.00634614171915773,-0.0725156989218977,-0.0315928502582327,0.0399800244934489,-0.130539976178504,-0.033780255525317
"894",-0.0887533227125976,-0.00123288791123491,0.0113063385106661,-0.0693732072780782,-0.0192868660047937,0.0548073260269386,-0.119052865807452,-0.0262075012749319
"896",-0.0877502519499195,0.000599186282870466,0.0163479726899692,-0.0659557137096798,-0.00604981491626465,0.0712794786077997,-0.104213396172321,-0.0150593719722933
"898",-0.0867275648614582,0.00246511123512363,0.021393422452223,-0.0621855159812435,0.00818574456723816,0.0890051407705768,-0.0864287014624295,0.00345658495828936
"900",-0.085716746833503,0.00430737302053002,0.0260859908095583,-0.0584872632172251,0.0226608738470828,0.106416768926426,-0.0687584885709327,0.0170936426067261
"902",-0.0847225068562301,0.00611728741466045,0.0302870449890185,-0.0551432207538867,0.0371301100106182,0.123008865341512,-0.0512135379719254,0.028649368061659
"904",-0.0837426465017271,0.00789872117209803,0.0339423342398893,-0.0523256238832286,0.0506855371368198,0.137584514014062,-0.0360020088759161,0.0365225565203395
"906",-0.0827968068102491,0.00961568647145819,0.036551716251052,-0.0505436930933579,0.0630613274269836,0.148325074732217,-0.0252388712379296,0.036964797757918
"908",-0.0818844854688213,0.0112688458810576,0.0380663807802967,-0.0495867836093775,0.0763617158925345,0.160023154241782,-0.00909904380991157,0.0483429562914758
"910",-0.0810063974782073,0.0128563552360707,0.0382131514436665,-0.0499588800451625,0.0883365670932891,0.168061777806269,0.00465139650347234,0.0566766412455075
"912",-0.0801480455270623,0.0144037158424065,0.0368203753039345,-0.0517196485966561,0.0987429981165718,0.171456189980096,0.0140751491882084,0.057909919751167
"914",-0.0792891378481571,0.0159464369226339,0.0337299177331857,-0.0549202333782924,0.107699303160584,0.170838739567352,0.0223521916498584,0.0572291153242768
"916",-0.0784183457965613,0.0175033433722116,0.0287908226045264,-0.059582352116506,0.115299448483011,0.166003988317912,0.0289453930955486,0.053126968854493
"918",-0.0774983054205748,0.0191396769706186,0.0220766034579166,-0.0657248050809782,0.121875930233705,0.156866990805278,0.0343305370569531,0.0483106888808268
