"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9","Comp 10"
"750",1.45012399827921,1.2493214837361,1.32120537299956,1.29959919472562,1.28803869577704,1.40408435623185,1.40877170410507,1.43174007261924,1.44002362650561,1.4336543348924
"752",1.38086468946873,1.20382026265907,1.34840609530555,1.327096741229,1.31340988061438,1.411529705854,1.41228390798504,1.42847737648313,1.4284867190054,1.42309301895918
"754",1.29820705898674,1.14862757019204,1.38021454873636,1.35921053782855,1.34353138222764,1.42229977358894,1.41918371278405,1.42878357897678,1.42291593874995,1.4185885321701
"756",1.19994929716205,1.08204178169083,1.41670128952366,1.39599912776371,1.3785847237596,1.43705727551439,1.43036351424623,1.43399605966811,1.42595672045225,1.42274735405808
"758",1.0840194383456,1.00245532007528,1.45750470198722,1.43708537831167,1.41833877216736,1.45634945122028,1.44667449825619,1.44555268379421,1.44050230041506,1.43839497906642
"760",0.94885756863094,0.908687654522951,1.50165022829829,1.48147698375881,1.46195816731622,1.4804281569412,1.46872686047342,1.46474658242425,1.46917291413066,1.46805624481882
"762",0.798653255044956,0.805454093970576,1.5455866066873,1.52658973333669,1.50711582160923,1.51047799886938,1.49806230535231,1.49356506572171,1.5061361167782,1.50152296977563
"764",0.656101534668171,0.718639649160349,1.57671483281475,1.55837657998256,1.53979335213901,1.53353307103027,1.52096213744976,1.51738302662602,1.53640794127069,1.52762303799053
"766",0.528148165736812,0.650990321361053,1.59123595202786,1.57402078665445,1.55701206323417,1.54629666559377,1.53398230574535,1.53207743777857,1.55429139959551,1.5429438051298
"768",0.414125767984738,0.602598634302222,1.58963865787604,1.57411963855226,1.55946205429245,1.5462290260002,1.53391093207418,1.53318547869076,1.5509905615234,1.54136560332233
"770",0.321944144035851,0.578066114447328,1.57268475280264,1.55902390042016,1.5471207871751,1.53261247341147,1.5203039735682,1.51990066047788,1.52807575552375,1.52748751807556
"772",0.252991756519381,0.577971289843556,1.54284515298435,1.52988726448484,1.52067370113628,1.505381483301,1.49333006309916,1.49249787595711,1.49062483120856,1.50461688602241
"774",0.205926544393412,0.59760171715504,1.5050626868042,1.49085609848056,1.48400071639093,1.46780009684755,1.455975172755,1.45415363032665,1.44631658549137,1.47531548299708
"776",0.184212067815198,0.637030477693141,1.46121913583225,1.44333260095357,1.43812869149385,1.42064045974914,1.40896508365493,1.40593325238405,1.40119878670194,1.44062804580392
"778",0.178867941612503,0.686138291595376,1.41693216119331,1.39509122979244,1.39063961385317,1.37198597890039,1.36068659018322,1.3571265857717,1.36139576299797,1.39734841278804
"780",0.187748166623582,0.742699897334544,1.3723199017502,1.3469407223055,1.34171602355678,1.32238024262586,1.31193899297197,1.30840320210628,1.31802400161438,1.33649284326283
"782",0.207388083782053,0.80171787107741,1.32779958469676,1.30124488032444,1.2937906617748,1.27446971554453,1.2660423829308,1.26267843001304,1.27358214267282,1.27504890879564
"784",0.232720438489387,0.858384016682316,1.28558082125275,1.26266609976067,1.25270688993027,1.23420377795592,1.22791065185844,1.22462840239262,1.23563395290672,1.22796613022671
"786",0.262849097741927,0.910594445127006,1.24990621192945,1.23524965502347,1.22343712466625,1.20696797890229,1.20112322646893,1.19774559582048,1.21078043310804,1.20216309778396
"788",0.291044840237506,0.952489226175189,1.2235452331335,1.2189765575149,1.20610598579084,1.19305871025186,1.18627060882758,1.18278522895625,1.19817954559437,1.19328767861654
"790",0.316083849423998,0.983389433436328,1.20712800537607,1.21219454417534,1.19845041922297,1.18925009053722,1.18174581870182,1.178275313387,1.18981292427493,1.19193795946862
"792",0.348000426740833,1.01195991158546,1.1991949846053,1.21423075254264,1.19935935191521,1.19288087835305,1.18652186556645,1.18318720423581,1.1879391849185,1.19721466471582
"794",0.388013992501857,1.03731019961221,1.19943648161399,1.22400647456406,1.20820669116737,1.20406775859914,1.20059582821489,1.19746185503938,1.19745833216137,1.20946633481914
"796",0.4366582852622,1.05455649050044,1.20919798477462,1.24096117962611,1.22462163827153,1.22387524407757,1.22225449458577,1.21912501908584,1.21652331228799,1.22583640330857
"798",0.497377203328084,1.06132607699055,1.22723990446797,1.26463603989092,1.24801289078259,1.25321362297062,1.24902608103261,1.24544939912646,1.2438086011028,1.24516824626559
"800",0.574709556310466,1.05699012276839,1.25218246830647,1.29528569534892,1.27886420163792,1.28956430516037,1.28463966097889,1.28079547669228,1.27863828020851,1.27554744194806
"802",0.670829829611089,1.03531050225008,1.28251830498891,1.32999521827838,1.31513866793136,1.33176296605669,1.32856731438678,1.32456989875925,1.31888773499198,1.31564145802006
"804",0.787485383261566,0.984231449316505,1.31255927750364,1.36056879076234,1.34955367890217,1.3763723021098,1.37252629310252,1.36836647278442,1.3606927742689,1.3577732405595
"806",0.90363622372374,0.885224443618086,1.32401523047279,1.36670797397849,1.36243779814902,1.40625697494967,1.39701853989035,1.39300131332734,1.38599671429386,1.38141324594447
"808",0.979229870947924,0.741807114509806,1.29414464990073,1.32156024541069,1.32590482817458,1.39234149648158,1.38103140617876,1.37830886434149,1.37422182263722,1.36850487531928
"810",0.965234403734283,0.62716059234562,1.22037228154116,1.22263554609599,1.23269600934593,1.32097783840809,1.31761990030058,1.31780146446206,1.31691539899486,1.30916549622735
"812",0.862980891595944,0.654967765520414,1.1258790464989,1.10915091651343,1.12080759872997,1.21523085001242,1.22535808175916,1.22831417249149,1.23069718608584,1.22204210437262
"814",0.730863754407563,0.769338552421937,1.04534860234537,1.02445865992132,1.03475345660659,1.11722270422655,1.13761612157326,1.14298035109236,1.14350388096013,1.13528631946055
"816",0.613573952316689,0.872778636792646,0.992222753639024,0.976269277761634,0.984448609839491,1.04639326772643,1.06891013184321,1.0755377637201,1.07334154541046,1.06797623364519
"818",0.526784063434265,0.942050422654556,0.958377607594398,0.948767243842344,0.955886295993921,0.996716830564534,1.01557635333508,1.02235168124673,1.01968988416706,1.01742930284097
"820",0.476402564436023,0.978526701151493,0.931585798499815,0.92803277126502,0.933876581141091,0.959701903590928,0.974822337828483,0.981466221219894,0.978004455584681,0.979120172500627
"822",0.4550259540785,0.991036524506763,0.90485972887715,0.904895546447332,0.911089573398717,0.924792390955866,0.932860847855813,0.938533070280807,0.935289093159514,0.937439690977108
"824",0.455385286420366,0.987340931068867,0.87733471430544,0.879180844175299,0.886617360330992,0.891772354488622,0.893432615592504,0.898038768430745,0.89548415021224,0.89728966577048
"826",0.474066097025181,0.971408808877626,0.84703213078454,0.849859537657351,0.859010109078321,0.858492595384477,0.855014154450368,0.858345385422748,0.857303492176892,0.857838100861697
"828",0.507223470840739,0.947104877502713,0.81449694756825,0.817873901245694,0.828962973547789,0.82492640979554,0.818828517570627,0.821014376634082,0.821531900725828,0.821029449786693
"830",0.552035913783294,0.917385506676322,0.780770803811781,0.784456174731116,0.797779321715311,0.791445161393337,0.785015508852694,0.785978057423376,0.789009281651311,0.787000167810386
"832",0.607462748823608,0.884435418493988,0.747104915813604,0.751553885268639,0.766802307258856,0.759149579609757,0.755709824845099,0.755303171150837,0.762773161745798,0.758942009743725
"834",0.671999921363281,0.850569771541817,0.714515185677019,0.720299178405185,0.737121403089822,0.728738422855523,0.733491675276085,0.731902623797519,0.745455460783894,0.740249718770238
"836",0.742536438670326,0.819423828531995,0.68593338582539,0.694068427750964,0.711209339897366,0.702758263370948,0.720100757315911,0.717966679308484,0.735407582387945,0.729986573315901
"838",0.815706026469473,0.794166147264478,0.664054522136226,0.676220289250024,0.691812629495225,0.683674255506624,0.719552500929097,0.717592058946674,0.73765982447735,0.73277103250812
"840",0.885982983829018,0.777048653409646,0.650591528315505,0.667725380394499,0.680584279043012,0.673104069420072,0.731138177893921,0.73025414120538,0.749769523420123,0.745667285413574
"842",0.946923736396233,0.768193126124981,0.646758793294877,0.673159501437041,0.680428529841396,0.675018118837144,0.746149743360786,0.746593934714115,0.75750159284603,0.752990933066922
"844",0.9879618591008,0.765284619256253,0.651320000739245,0.690657546283813,0.691818925188865,0.689779239943481,0.761362568882893,0.762970052417863,0.763860767033407,0.758376114625964
"846",1.00773977371645,0.764446419615299,0.660460401473701,0.714302101720375,0.710455916737737,0.712930658112313,0.77606492833099,0.778393553249876,0.774289043639751,0.768687768849756
"848",1.01285586981486,0.764037294831696,0.671413238327804,0.738802658121634,0.731540907437008,0.739473703038564,0.788795306513773,0.791219368018654,0.788210480957283,0.783424141080474
"850",1.00870326465456,0.763886628015074,0.681633683683926,0.760671485506335,0.751445589655828,0.764860684686127,0.797581700180954,0.799632760719358,0.802495968480132,0.799378951302951
"852",1.00132600607628,0.764416449523093,0.689059308308548,0.776403500273488,0.76632067129036,0.78376545698758,0.800652119775751,0.801986233032288,0.812351972680662,0.811820555874383
"854",1.00079587552503,0.765300267065939,0.691186721880099,0.782187479614431,0.771885273977626,0.791502401870705,0.797890713806896,0.798578005809269,0.814101110445806,0.815540942565209
"856",1.00550613769843,0.766121942396566,0.687787341273107,0.777531054396772,0.767292498445361,0.785398827515136,0.786648870140892,0.78699876222586,0.804312413049097,0.80647134468492
"858",1.01562957548505,0.767465383369054,0.680597775173041,0.763288628932137,0.753345837131774,0.768007423170527,0.765327574333777,0.765183224550458,0.783793707037387,0.786385657899595
"860",1.03160990027893,0.769079270835239,0.671130608143012,0.743940271714922,0.734640242457524,0.744288654501562,0.740018646069661,0.739928787478847,0.754269490997126,0.754477415454526
"862",1.05329786968525,0.771455318983463,0.660738041469261,0.720289148636078,0.712325299401525,0.716161939273083,0.711543812888244,0.711732407174111,0.719845534708911,0.717522380282171
"864",1.07655489510929,0.774645692494681,0.652746110172284,0.699348629706103,0.693164676374419,0.692709549938462,0.687465036269683,0.687358856600815,0.693569795837995,0.690601746120382
"866",1.10016147670714,0.778666137428748,0.647865917881966,0.681818282687026,0.677873154349622,0.674258062481599,0.668703882309654,0.667937085488935,0.675478028609038,0.673129066183224
"868",1.12696002397646,0.78410754658237,0.646427534723243,0.668520561201015,0.667216563643579,0.661415397793181,0.656687904234851,0.655383954173054,0.664207406464694,0.662440775265618
"870",1.15597366779521,0.791262711498106,0.649163589352656,0.660607615365531,0.662286447087262,0.654876190932813,0.651669635096267,0.650029167945298,0.658203261894622,0.65646180141973
"872",1.18622898332798,0.800206442314669,0.656499714617249,0.659824868279554,0.664234553442996,0.655671807347415,0.654007076274305,0.652179621728638,0.658673130485502,0.656562896043269
"874",1.21655325102507,0.810869762236651,0.667898449797388,0.66520276634285,0.671877239491729,0.662454570875032,0.662388176957498,0.660423447774,0.665640525934978,0.663536956620207
"876",1.24999483107573,0.824585235322271,0.684293762079642,0.67663047547494,0.685693167088096,0.675551222742946,0.67570080431456,0.673658620824432,0.677010086143026,0.674640209595411
"878",1.28726156445646,0.842240966700106,0.706349851539762,0.694807714172716,0.706417228527139,0.695866853508072,0.694967289350692,0.692860937822938,0.69488719075054,0.692424218125067
"880",1.32784592346858,0.86418282932569,0.734058865079957,0.71996108621758,0.734006892039234,0.72348446122978,0.721064305128925,0.718897851100628,0.719909971536443,0.717400049900736
"882",1.37008619844241,0.889858718607102,0.766484991589656,0.751156386813179,0.767476558921615,0.757443064394371,0.753356393756444,0.751120835990002,0.750939130117246,0.748058801640666
"884",1.41314438122725,0.918851252304758,0.802950171796395,0.787529932950682,0.806349975701261,0.797540408499747,0.791593025196593,0.789238664757701,0.787337494370882,0.783745400207144
"886",1.4545991263971,0.949279832182314,0.840873510242838,0.826340910605898,0.847629822094862,0.840839056259051,0.833915159887957,0.831407008328212,0.827879105467616,0.823444054651311
"888",1.49249450854081,0.979100611050001,0.878124485128375,0.865282447750918,0.888940809804434,0.884996187983363,0.878960286840843,0.876295089913887,0.871575857660067,0.866153318202343
"890",1.52441652965034,1.00560996156006,0.911765687179696,0.901311045104507,0.927318692456385,0.926901878730877,0.923850631922436,0.921068123980144,0.915912472045433,0.909764322554964
"892",1.54704345513794,1.0251349182279,0.938229933453719,0.930834948839091,0.959334969206959,0.963076503378201,0.965121648877537,0.962266751997659,0.957181797790553,0.950512979123074
"894",1.5575555386484,1.03441432468936,0.953698168139696,0.949582522225796,0.98025409902383,0.988032919833522,0.995750301596305,0.992832528960341,0.987775316749468,0.980849761601397
"896",1.55068150433567,1.0283857841877,0.952687298684379,0.951570207744342,0.983902279951341,0.994850698254722,1.00610192463148,1.00310686883765,0.997660883573332,0.99095844235079
"898",1.52376496726822,1.00518824986357,0.933552599078543,0.935177218633624,0.969214789102545,0.98325845671559,0.998149826205405,0.995155346801154,0.989623179511453,0.983095282571807
"900",1.474878217253,0.965206756723903,0.896120078185368,0.899883639692255,0.935382401307678,0.952094333666182,0.970032540308374,0.967104995270134,0.961680433263767,0.955289051172077
"902",1.40222531346356,0.911362484939942,0.84226039676145,0.846886540515884,0.883063823220443,0.901677427607102,0.920714997998598,0.91792327082519,0.912900162645134,0.90679299487483
"904",1.30560057241139,0.851264284664909,0.777602525391689,0.781390843103339,0.816919543539247,0.836340959811899,0.853972537242445,0.85141964467722,0.847370249621116,0.8416170962329
"906",1.18971686908576,0.798957668552256,0.714704225941508,0.715665700724288,0.748329370665591,0.767028833520323,0.780980194309073,0.778775783950213,0.77646565234485,0.771050406411127
"908",1.06279209849798,0.769387566243718,0.668783504176743,0.665391699301636,0.69256765025315,0.708925001032014,0.718271161895154,0.716434838730875,0.71607530748836,0.710858294481328
"910",0.936011545314794,0.770148996004503,0.650871810755171,0.642800334949173,0.662030849669167,0.674410569068341,0.67900896735313,0.677463250877904,0.67880296266095,0.673796384253178
"912",0.820505668501791,0.795924072838825,0.659980893853701,0.648414359043315,0.659039510541987,0.666616116205445,0.666953907000764,0.665601727711017,0.668539472573317,0.663736239919991
"914",0.724833019946455,0.833264745376042,0.684912984080548,0.671433650348352,0.674665269032331,0.67766929320376,0.674838230123741,0.673606840632863,0.678240411347096,0.67351200348221
"916",0.654017712277031,0.869045623939673,0.712621750975088,0.698384035345549,0.6963960418434,0.696034879846481,0.691529215690514,0.690288792443979,0.69594853598525,0.691268643221705
"918",0.607424448557209,0.896279099662952,0.735125617784379,0.720687025436244,0.715220162192329,0.712375404024251,0.706989010920084,0.705675355039851,0.712023696125124,0.707424079649819
"920",0.582734626727778,0.912369028125359,0.748969294865514,0.734499256832115,0.726959405920991,0.722655113694902,0.716992302741052,0.715476534660848,0.720965848144484,0.716758481114533
"922",0.575904923675476,0.91815331267416,0.754267753440799,0.739796715962055,0.73106335408398,0.725892903697063,0.720237272518437,0.71848005525564,0.722283737228255,0.718869020430243
"924",0.582634501532194,0.915749351438243,0.752588595823577,0.738119774262355,0.728760432498913,0.7230807089495,0.717607809511232,0.715656064843664,0.717691558439231,0.715367012686215
"926",0.599235308071245,0.907523014884109,0.745902139173695,0.731434133114082,0.721850892445149,0.715900513256865,0.71078766974374,0.708702036207848,0.708912672844837,0.708021415006335
"928",0.62241008336251,0.895686833971505,0.736092040926527,0.721637132746233,0.71212919759313,0.706061755483242,0.701488696082164,0.699362173969264,0.697842857977025,0.69876117963715
"930",0.649673726342554,0.881989024604145,0.724678103701272,0.710291150734395,0.701116711486017,0.69492348306974,0.690974626809831,0.688931607967179,0.686131396725816,0.689079017409989
"932",0.679005902153454,0.867757879424946,0.712803747887817,0.698559200791632,0.689991687475636,0.683578269299536,0.680203535500074,0.678369730427065,0.674840279303571,0.679696253087337
"934",0.708928898105281,0.853909808234336,0.701264734746349,0.687258966419234,0.679618841702292,0.672822567854825,0.669676375289284,0.668123032736668,0.66438786944671,0.670476431968466
"936",0.738499874713443,0.840919157246649,0.690458571865086,0.676818004952599,0.670484388931483,0.663149165225905,0.659797961345421,0.658537653123285,0.654883471763801,0.661326001946784
"938",0.767407263233536,0.828865395746011,0.680427372382,0.667338034688787,0.66264661125819,0.654763791821514,0.650946958311988,0.649966069463796,0.646528198558538,0.652541759699455
"940",0.795637243371922,0.817731711103892,0.671143642833826,0.658869344413744,0.656094712194829,0.647693918895628,0.643286810343048,0.642533878375996,0.63936181510373,0.644260161406252
"942",0.823950743925784,0.807269736673814,0.662379943704905,0.651304506194972,0.650553307656695,0.641732699797105,0.636793812904333,0.636194771085993,0.633275950574811,0.636473581464797
"944",0.85308924335112,0.797447433857097,0.654121845119724,0.644709974977833,0.645923236288266,0.636795618601979,0.631573881241522,0.63102936502932,0.628250686711014,0.629320392993795
"946",0.884062790804047,0.788306243076111,0.646437049534361,0.639271044219734,0.642145998808129,0.632835283031661,0.627680520841947,0.62713043027814,0.624447674344137,0.623469753510128
"948",0.917808203583832,0.780184154910543,0.639701788223773,0.635412528746345,0.639502807956212,0.630091893730119,0.625313963529438,0.624710144097964,0.622077126104265,0.619374161954483
