"","y.5.comps"
"(Intercept)",15.2309070578165
"750",-1850.15145647135
"752",-1850.1514564763
"754",-1850.15145647123
"756",-1850.15145647495
"758",-1850.15145647587
"760",-1850.15145647864
"762",1148.31763186496
"764",2492.96581077558
"766",1476.01430070476
"768",515.541130488903
"770",1628.50532065667
"772",4607.8603566655
"774",7129.6795664432
"776",8597.77529918605
"778",10075.5612835886
"780",12229.9701810806
"782",12575.1160992753
"784",11377.9285878632
"786",9813.8228322333
"788",8635.21773886768
"790",8598.23259156644
"792",8245.43448893127
"794",6543.57791250354
"796",4777.45595783535
"798",3590.48165246424
"800",3418.49173292067
"802",1438.58219427058
"804",-556.58577013848
"806",-2432.49651697324
"808",-3985.67907864085
"810",-5585.83026341519
"812",-7240.67486766971
"814",-8927.1842625291
"816",-8856.03392331323
"818",-6524.35877447732
"820",-2945.11003286793
"822",1016.4641475881
"824",5939.57495640658
"826",10299.2890177008
"828",13348.6174701147
"830",14560.4570134876
"832",14396.0558353145
"834",13070.27653959
"836",11164.2452947901
"838",8236.57173254985
"840",4282.65054382885
"842",736.05142302382
"844",-1999.49628173313
"846",-3385.23967338015
"848",-3375.03358793202
"850",-1995.92949567659
"852",156.226118887334
"854",2597.76757709675
"856",4182.62293836017
"858",4494.98117128073
"860",4242.27035302875
"862",3977.10940445946
"864",4074.59032502036
"866",4550.90561536237
"868",5217.21169052388
"870",6271.90172834524
"872",7157.50328598517
"874",7610.35422296704
"876",8458.00880810081
"878",9701.22827474878
"880",11721.5049750762
"882",13619.7053125681
"884",14715.1904837566
"886",15315.7779611018
"888",15619.2817545984
"890",15183.6337390144
"892",13508.839373762
"894",10819.0766080573
"896",7937.74898702208
"898",5108.66289850337
"900",2144.75766368185
"902",-1295.05840435405
"904",-4260.57733578746
"906",-6419.39172735835
"908",-7319.24670681462
"910",-7745.01795867015
"912",-7538.3896417057
"914",-7076.3929583182
"916",-5178.34724180296
"918",-2124.16451157468
"920",1411.61265655514
"922",4263.23172488135
"924",6662.41996347303
"926",7993.39204288818
"928",8443.07646222687
"930",6974.08083986199
"932",4507.13826535838
"934",665.225279632854
"936",-3085.92466162185
"938",-6812.70136585717
"940",-9425.34818149651
"942",-11298.7144561239
"944",-11525.9112757996
"946",-9338.92922095327
"948",-5177.14427192317
"950",-488.924122489518
"952",4275.75037438845
"954",7260.71336355824
"956",8382.71254828124
"958",7925.82314705165
"960",5847.5152217382
"962",2553.18462007073
"964",-900.216480118554
"966",-2925.97103683403
"968",-4223.01775801543
"970",-4827.87060003849
"972",-5970.9525990892
"974",-6859.62803129428
"976",-7355.12172940778
"978",-7132.14702576126
"980",-7214.87860501351
"982",-6879.11086267315
"984",-6384.9126075081
"986",-4586.67633713446
"988",-2905.3917020454
"990",-1623.90891413311
"992",-1459.61758015795
"994",-1007.6649672099
"996",-717.418239854254
"998",-576.748069070512
"1000",-929.657338631158
"1002",-1445.59803977561
"1004",-2060.31393754697
"1006",-2098.66914296012
"1008",-2644.12018019647
"1010",-3116.14134437968
"1012",-3880.51686543282
"1014",-4430.3592507992
"1016",-4391.31231794886
"1018",-4136.80843647804
"1020",-3740.09650488919
"1022",-3534.8662998767
"1024",-2940.10235242343
"1026",-2234.59370639246
"1028",-1775.15214363758
"1030",-1403.6538517598
"1032",-1129.73780026229
"1034",-700.989552524354
"1036",70.9641066487008
"1038",460.853830401972
"1040",1000.29840444367
"1042",1104.65362894491
"1044",1466.24753949955
"1046",1498.42722733774
"1048",1292.56977505988
"1050",712.178829161205
"1052",701.847981526691
"1054",611.915061452795
"1056",598.282899904284
"1058",64.3878061903972
"1060",-804.13658472596
"1062",-1996.16109927766
"1064",-2655.65391338897
"1066",-2662.9260383692
"1068",-1991.54600006234
"1070",-1394.75600468128
"1072",501.470021929382
"1074",2848.65440498701
"1076",5359.36052952944
"1078",6979.97717892235
"1080",7553.23857257572
"1082",8298.2770364327
"1084",9392.44652925541
"1086",9597.76403284198
"1088",6492.47733660684
"1090",6492.47733660408
"1092",6492.47733660704
"1094",6492.47733660334
"1096",6492.47733659946
"1098",6492.47733660891
