"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.3779977029087,12.301917155972
"ak02",13.1,13.1940174832602,13.1730014633821
"ak03",12.7,12.2422743656687,11.918629570184
"ak04",10.2,10.3437776159249,10.406970204746
"ak05",11.4,12.5349698455734,12.6666046015456
"ak06",10.7,11.0597866058185,11.144096162372
"ak07",11.5,11.8440635999783,11.8408331061744
"ak08",11.6,11.4253186816868,11.3844155918659
"ak09",11.6,11.3014755009356,11.0819435154869
"ak10",11.2,11.7853234936534,11.8803492426087
"ak11",13.9,13.9633015372288,14.0222641443873
"ak12",10.6,10.9410114878826,11.2450742946684
"ak13",12.4,12.3780705524246,12.3761130144056
"ak14",11.1,11.5710122884415,11.6786777633229
"ak15",11.4,11.2053470453663,11.1881948255551
"ak16",12,11.7800226678519,11.7316536987741
"ak17",14.2,13.3537246644621,13.2617514148465
"ak18",12.1,11.3108571342343,11.1220372794546
"ak19",12.2,12.2429351090677,12.1413871608432
"ak20",11.5,11.3065978872776,11.3153141919435
"ak21",10.4,10.2723621399197,10.2654314799181
"ak22",11.2,11.2174552137248,11.1770141212617
"ak23",12.6,12.6129898125766,12.6079450576504
"ak24",11.7,11.6949722105453,11.713053589951
"ak25",12.9,12.8964358875226,13.001118631003
"ak26",12.3,12.3340949824342,12.3339407220254
"ak27",11.3,11.2995694649588,11.3484318693875
"ak28",13.8,13.8491159928923,13.8687499340925
"ak29",13.3,13.2187528467031,13.0951030987474
"ak30",12.1,11.6819230195584,11.651423586035
"ak31",12,12.3336355487228,12.4344269799881
"ak32",13.9,13.5954714785298,13.4694672462882
"ak33",10.7,10.8954659537942,11.0949008845038
"ak34",12.2,11.7923620596632,11.8737570136393
"ak35",11.8,11.3439525837532,11.3062844510847
"ak36",10.9,11.2483415166626,11.4013658275673
"ak37",11.6,12.5275274539968,12.6682901574777
"ak38",11.6,11.4975743397568,11.4757772103213
"ak39",11.4,10.6572018738182,10.2859313228221
"ak40",13,13.3852444585957,13.3937637386501
"ak41",11.8,12.2653071100399,12.2848338660594
"ak42",11.1,11.3771040304995,11.53403415873
"ak43",11.7,11.5160936354757,11.3940050730813
"ak44",10.7,11.5795815997161,11.7717422240887
"ak45",12.8,12.379831295886,12.3685531547544
"ak46",12.8,12.7527138890156,12.745042947075
"ak47",13.1,12.7064281399809,12.5791712052392
"ak48",13,12.7842090318756,12.7246283444459
"ak49",12.9,12.6223410293869,12.5485789065717
"ak50",14.7,14.6000561303487,14.514828727517
