"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"750",-0.109601913368388,-0.0401112619859372,-0.0351601487221842,0.142868631882942,0.217719056094404,-0.136491032305367,-0.172223603054485,-0.155334684568069
"752",-0.109223446743522,-0.0394004781209166,-0.0314125725813596,0.141293335239296,0.210047900270471,-0.12027995878514,-0.143711409640442,-0.132440037542634
"754",-0.108891344160672,-0.0387768908880543,-0.0280566205534754,0.139366691252697,0.20147786387526,-0.105875071970869,-0.117716688471729,-0.110845850212244
"756",-0.108605728920396,-0.0382406364411148,-0.0250927958224032,0.137088129745123,0.192007241141831,-0.0932787254268745,-0.0942424466669204,-0.0905533514520541
"758",-0.108366720367101,-0.0377918549906061,-0.022521628649578,0.134457033663226,0.181634208864032,-0.0824934016606658,-0.0732918597229627,-0.0715638351457928
"760",-0.108174434219978,-0.0374306914640705,-0.0203436795619089,0.131472737858517,0.170356824548866,-0.0735217264664264,-0.05486829352516,-0.0538786743188309
"762",-0.10804617327382,-0.0371889913246198,-0.018787682531131,0.127873419326671,0.157778817941248,-0.067247796778966,-0.041166311091481,-0.0373678827158229
"764",-0.107960031099555,-0.0370263680080561,-0.017545713352438,0.123989762517276,0.144521197277451,-0.0623188162827508,-0.0288257458141169,-0.0211206306272441
"766",-0.10790523080003,-0.0369227803031108,-0.0165139487809782,0.11998948222491,0.130746197857891,-0.0584412102499504,-0.016900552584411,-0.00649655435918918
"768",-0.107880294171011,-0.0368755867380225,-0.0156473579513703,0.115888439703159,0.115951799135239,-0.0561311050614067,-0.00635929544554916,0.00359676608907869
"770",-0.107881611063411,-0.0368782581005298,-0.0148682480725299,0.111733569741253,0.0998982212303433,-0.0554737800313194,0.00254145455634763,0.00712297418845042
"772",-0.107904641571202,-0.0369225424054467,-0.0140986408357581,0.107621668712353,0.0830118447432618,-0.0558098924566295,0.0104947030120108,0.00608139130000825
"774",-0.107941184829439,-0.0369933177491691,-0.01324822987246,0.103735721725881,0.0659641230157274,-0.0563475554868437,0.0186216485778189,0.00399459531556774
"776",-0.107983777678102,-0.0370766744708896,-0.0122651460755779,0.100218031767988,0.0492146241338129,-0.0567132999116561,0.0267287173521352,0.00185766559692782
"778",-0.108030797595072,-0.0371694046279077,-0.0111778766922645,0.097095200135016,0.0329863230755355,-0.0568493582466977,0.0338681377271053,-0.000440044529376297
"780",-0.108079017176904,-0.037265194209006,-0.0100141133316374,0.0943359385446698,0.0176398900974269,-0.0563436502180075,0.0401861241865951,-0.00152794934452658
"782",-0.108125198331153,-0.0373578521146332,-0.00876830922053955,0.091965196057559,0.00399744432649398,-0.0540229600727613,0.0480208196872714,0.00406655650428199
"784",-0.108167459776628,-0.0374436901638907,-0.00745358668549045,0.0899316266802692,-0.00813196598915396,-0.0503169106841408,0.0566876521479899,0.015194638189277
"786",-0.108206337264276,-0.0375235037811229,-0.00610938403022915,0.0881543433529568,-0.0190538256086898,-0.0457506959576585,0.0652755210772025,0.0279059651200394
"788",-0.108241414716514,-0.0375965590116564,-0.00471984473405068,0.0866185479246371,-0.0291620566782361,-0.0407602016944646,0.0732307456700826,0.0403539687147226
"790",-0.108274038897003,-0.0376653931138203,-0.00329010063063755,0.0852889449332412,-0.0388281727486977,-0.0356938270395255,0.0801621326399621,0.050526485252774
"792",-0.108302967428262,-0.0377275351148435,-0.00183495451570321,0.0841032796998043,-0.0480173464292939,-0.0306071176814471,0.0867918843078627,0.0600918983402348
"794",-0.108324597156903,-0.0377761541578413,-0.000338411591252284,0.0830534867589304,-0.0564409614459275,-0.0251458268854965,0.0937658542353682,0.0702327458098123
"796",-0.108340410150913,-0.0378136731861239,0.0011277371726333,0.0820006514821426,-0.06439452663431,-0.0198858891074915,0.0999266436559562,0.0789972555190126
"798",-0.108347281701062,-0.0378338104276335,0.00250882301159363,0.0808830923785774,-0.0718569144678743,-0.014745433801709,0.104992386704925,0.0851946169734876
"800",-0.108341344108674,-0.0378289690878645,0.00377530265425248,0.0796111486541606,-0.0787564494321151,-0.00964042943190458,0.109051713149451,0.08906107727497
"802",-0.108319486922478,-0.0377930988614784,0.00491633883943047,0.0781991471020295,-0.0845712350639162,-0.00394261212189441,0.113869889192655,0.0950715933490373
"804",-0.108282867960901,-0.0377280589008092,0.00587273560635618,0.0765067368014081,-0.0896944279740361,0.00171024443272396,0.118241693104214,0.0998114482892865
"806",-0.108229917675702,-0.0376306762913531,0.00661858857896925,0.0744925773779978,-0.0940059298249475,0.00736610540535144,0.121828050055397,0.101965562560598
"808",-0.108157331706665,-0.0374946840775947,0.00716506709851909,0.072150873247191,-0.0977225437876684,0.0126158259093031,0.123580386237606,0.100545836787961
"810",-0.108067465860397,-0.037324203827965,0.00743727439600378,0.069419446966326,-0.10091586575097,0.0173502053910054,0.123499425907229,0.0957501566642942
"812",-0.107962367377053,-0.0371226553410549,0.0073389457339715,0.0661457875675462,-0.103618676116489,0.0215031120217576,0.121978626268232,0.0891819295824977
"814",-0.10784000309001,-0.0368858848956191,0.00681155421039417,0.06221029888579,-0.105693730485183,0.0251833161279363,0.119000434480762,0.0810052659184525
"816",-0.107696698941249,-0.0366062040700572,0.00571372142127866,0.0573505418663849,-0.107392732996121,0.0274245328594003,0.112528163581161,0.0686280573426273
"818",-0.107521510178986,-0.0362622918370814,0.00392769559408298,0.0514398809220384,-0.108416314491296,0.0282393334027454,0.102517711242249,0.0521764071550447
"820",-0.107313805451146,-0.035852566863013,0.00131766541539405,0.0444071875649897,-0.108037809649634,0.0282895350461663,0.0903583375168853,0.031194147251937
"822",-0.107059341884393,-0.0353506370410715,-0.00206171240763314,0.0363103784450139,-0.106140727621006,0.0275856351038066,0.0767168157187983,0.00766811971169643
"824",-0.106748313395768,-0.0347390307877094,-0.00609808350888459,0.0272586712429067,-0.10282400592772,0.0259612686895073,0.0617906504397098,-0.0182185909677591
"826",-0.106371315979354,-0.0340017975303015,-0.0105468431040063,0.0176198869777905,-0.0976399145897885,0.0243935280913789,0.0471487757142593,-0.0434138785817957
"828",-0.105929603339521,-0.0331438202757575,-0.0150280052359784,0.00793259959258612,-0.0907570560369378,0.0236885350328917,0.0339669197739817,-0.0652314322870378
"830",-0.10543574757009,-0.0321910714804701,-0.0191693132440208,-0.00124504893222737,-0.0825096253718852,0.0245928954933837,0.0233286216508451,-0.0814576390227949
"832",-0.104906718747886,-0.0311771447001508,-0.0226437350469856,-0.00950066467808331,-0.0737102301346294,0.0270293867574332,0.0152335842505911,-0.0915385115974172
"834",-0.104362633180511,-0.0301408228691738,-0.0251840437974843,-0.0165112095583151,-0.0652266138447093,0.0307327037972568,0.00917358239946577,-0.0949151955367594
"836",-0.10382333914085,-0.0291192751553653,-0.0267101752102096,-0.0222230203325108,-0.0578280280061761,0.0349016234569654,0.00407420233908836,-0.0919943150951213
"838",-0.103311088932197,-0.0281532715302261,-0.0273629023141176,-0.0267145759487166,-0.0516952082295841,0.0393791934215189,0.000156377795040083,-0.0837850754215378
"840",-0.102844455117167,-0.0272762770822645,-0.0273977844167415,-0.0302749434308102,-0.0470599532910978,0.0437416722421523,-0.00230712468360498,-0.0710419954689317
"842",-0.102420249991342,-0.0264811967794192,-0.0270042460341709,-0.0332265636801732,-0.0444824501181361,0.0467164413479483,-0.00536475093492394,-0.0559800807435885
"844",-0.102037431436643,-0.0257649285685332,-0.0264458439371089,-0.0359176389222341,-0.0438967977643241,0.0477551731174147,-0.00985979214042631,-0.0409591148547796
"846",-0.101691860729178,-0.0251188365942408,-0.0259479736355918,-0.0386425284493185,-0.0449283798957593,0.0469805042626448,-0.0157813934122525,-0.0277565320971513
"848",-0.101375295685299,-0.0245271903813606,-0.0255674575906871,-0.0414644404965239,-0.0472571689758618,0.0446531585836236,-0.0231927878304459,-0.016596715018994
"850",-0.101080081239927,-0.0239755152192628,-0.0253259037009097,-0.0443820648218859,-0.0504707293591821,0.041028417553466,-0.0323617159306915,-0.00929420570709778
"852",-0.100795834784162,-0.0234444709599782,-0.0251743078422322,-0.047381360751471,-0.0543038189863123,0.0362805757064126,-0.0430680544689165,-0.0057059689231976
"854",-0.100516868430623,-0.0229235906576653,-0.025042739032777,-0.0503704833599456,-0.0585399802506809,0.0309114529786416,-0.0546685536204726,-0.00399716461166536
"856",-0.100234802982782,-0.0223973693689496,-0.0248654776557673,-0.0532611436876401,-0.0626547491183949,0.02558376508289,-0.0659977390556705,-0.00269973944338205
"858",-0.0999515748761321,-0.0218693541137261,-0.0246677468544647,-0.0560215075132061,-0.0663073027978961,0.0208101873593865,-0.076064790918884,-0.00149827388389631
"860",-0.0996599923132055,-0.0213261389289445,-0.024446367308981,-0.0587131654660742,-0.0698030794364846,0.0161825769771354,-0.0852041717644419,0.000267768349087252
"862",-0.0993521922505344,-0.0207532051900919,-0.0241497610791869,-0.0612892516476396,-0.0730361040565906,0.0117561168682296,-0.0938921420235989,0.00179544992851339
"864",-0.0990199625217562,-0.0201353476625997,-0.0237565148570612,-0.0637899041391925,-0.0759283131673475,0.0076016950098059,-0.102076966278276,0.00251760544636275
"866",-0.0986584669607356,-0.0194635917907384,-0.0232880180383962,-0.0662812697451627,-0.0784777453587296,0.00367263533763581,-0.109659576912685,0.00223192735760318
"868",-0.0982614205405735,-0.0187264059216613,-0.0227152437027709,-0.0687080681590042,-0.0805664649699691,4.24190579241137e-05,-0.116831851725346,0.000812321507693221
"870",-0.0978227318177192,-0.0179126905197675,-0.0219924925199089,-0.0710410177297201,-0.0821459345713439,-0.00330467032474795,-0.123902216762827,-0.0026024488519955
"872",-0.0973363528140262,-0.0170114734243379,-0.0210690410099884,-0.0732114293082116,-0.0830441359859406,-0.00610526841662692,-0.130548171455863,-0.00676792950340773
"874",-0.0967975018604492,-0.0160141480953199,-0.0199033378880667,-0.0751332701456439,-0.0830843274569328,-0.00805432532486744,-0.136638475866046,-0.0111170108888239
"876",-0.0962051985723088,-0.0149191612471345,-0.0184700082104984,-0.0767976292737359,-0.0822332661775166,-0.00909181242402411,-0.142290598450523,-0.0166327381850503
"878",-0.0955648002301545,-0.013736660511326,-0.0167653608273934,-0.0781566014454892,-0.0804068107797548,-0.00903246929881245,-0.147081514834814,-0.0226142500037693
"880",-0.0948742833942579,-0.0124631785906452,-0.0147412021795059,-0.0791289965208404,-0.0776357331701091,-0.0078768566113002,-0.151240119503257,-0.0292332793910533
"882",-0.0941314728714451,-0.0110950297488104,-0.0123007824860644,-0.0795609731095727,-0.0736221668670372,-0.00511327256540369,-0.154004579667373,-0.0352415536586088
"884",-0.093338763406637,-0.00963683898560242,-0.00943109023302414,-0.0794078875213966,-0.0681284665958728,-0.000327832451456738,-0.154398773022338,-0.0396512065212941
"886",-0.0924988789353062,-0.00809382662333158,-0.00610947232498569,-0.0786253651630066,-0.0611384523385372,0.006568737852652,-0.152417743645766,-0.041935494797909
"888",-0.0916171195776169,-0.00647589274847546,-0.00233737419282869,-0.0772052387616102,-0.0527209564993527,0.015568734540517,-0.148023924431147,-0.0425341588310721
"890",-0.0906946145382411,-0.00478524529322411,0.00189369204767454,-0.0751461397823185,-0.0429036386773619,0.0267269013487281,-0.140847352950303,-0.0400258092248411
