"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.591619471824,12.5826643612815
"ak02",13.1,13.0716213890639,13.0382773576302
"ak03",12.7,12.103448499264,11.812633052998
"ak04",10.2,10.2011642972965,10.3290961223913
"ak05",11.4,12.3819896660795,12.441492000047
"ak06",10.7,10.9206184429911,11.0025847071366
"ak07",11.5,11.90844626048,11.886650765481
"ak08",11.6,11.4323274937074,11.4323291326279
"ak09",11.6,11.1921529618869,11.1176380008915
"ak10",11.2,11.6319327439171,11.6643889591659
"ak11",13.9,13.8413321638379,13.8930521439906
"ak12",10.6,10.9591489137033,11.0740748599544
"ak13",12.4,12.2386389695091,12.1329835788151
"ak14",11.1,11.5841341740165,11.6150329224798
"ak15",11.4,11.0719312729765,10.985402901135
"ak16",12,11.9756131685146,11.9639452728859
"ak17",14.2,13.5038937284366,13.4395291301229
"ak18",12.1,11.3865085189613,11.2517418421321
"ak19",12.2,12.2896956346577,12.2384838234988
"ak20",11.5,11.37618333108,11.3848762764151
"ak21",10.4,10.2330067384196,10.1742512821014
"ak22",11.2,11.2940501458858,11.3219314595841
"ak23",12.6,12.8993256832933,12.8873527995538
"ak24",11.7,11.6423280324246,11.6552608452411
"ak25",12.9,12.828217375571,12.8967283725237
"ak26",12.3,12.5532516504285,12.5634571846277
"ak27",11.3,11.3395717646276,11.3475354174731
"ak28",13.8,13.6816025966395,13.6671347930648
"ak29",13.3,13.1163969223291,13.1011779279482
"ak30",12.1,11.4396152074761,11.3342080917893
"ak31",12,12.3076391725566,12.2403834635084
"ak32",13.9,13.5980548942845,13.5509880162996
"ak33",10.7,10.9011291603795,11.0316894282065
"ak34",12.2,11.901413562792,12.0388884230571
"ak35",11.8,11.391650315579,11.3974670902244
"ak36",10.9,11.335706568926,11.4581603669304
"ak37",11.6,12.7697212085958,12.8652722112234
"ak38",11.6,11.5228860569601,11.4968657826081
"ak39",11.4,10.7391751598653,10.5821914555445
"ak40",13,13.234949739845,13.1954618958338
"ak41",11.8,12.4584129186197,12.5607815875033
"ak42",11.1,11.4221084976194,11.5154521829393
"ak43",11.7,11.4738453926424,11.3553608074662
"ak44",10.7,11.5434285042136,11.7958752853049
"ak45",12.8,12.2823395156992,12.1711856044167
"ak46",12.8,12.7200944654287,12.698537360666
"ak47",13.1,12.6876093801779,12.6236569792806
"ak48",13,12.9203326598044,12.8752280140241
"ak49",12.9,12.7527110993992,12.7134274647933
"ak50",14.7,14.4470245073128,14.3576488718489
