"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.6664878583394,12.7318412444028
"ak02",13.1,13.2239059388047,13.2101550009752
"ak03",12.7,12.3795780948781,12.2159535526989
"ak04",10.2,10.3892902653367,10.4961779766894
"ak05",11.4,12.5515093956643,12.6226474992488
"ak06",10.7,10.965928390738,11.0229815624776
"ak07",11.5,11.9345372290186,11.9334219439919
"ak08",11.6,11.4649535758875,11.4219684629311
"ak09",11.6,11.2750136816411,11.1796494598521
"ak10",11.2,11.6850604835515,11.724636565607
"ak11",13.9,13.8635584149993,13.8983831327621
"ak12",10.6,11.0055292067285,11.1160712016947
"ak13",12.4,12.2123478821046,12.1134880983965
"ak14",11.1,11.6095531145145,11.6640691083622
"ak15",11.4,11.057092929736,10.9828665957103
"ak16",12,11.8560765901244,11.8334560111476
"ak17",14.2,13.4972349095084,13.4298123060475
"ak18",12.1,11.3569474239511,11.2542634502833
"ak19",12.2,12.2228606979301,12.1325572104393
"ak20",11.5,11.298131082539,11.30494116711
"ak21",10.4,10.1569656938024,10.0754887136966
"ak22",11.2,11.2833166540622,11.3042694789421
"ak23",12.6,12.6623999162157,12.6353503489652
"ak24",11.7,11.6883512179543,11.7078852342275
"ak25",12.9,12.8485187697241,12.9094932425807
"ak26",12.3,12.4665844913475,12.4715439730934
"ak27",11.3,11.2812474021949,11.3103886839696
"ak28",13.8,13.781779974772,13.7707158710484
"ak29",13.3,13.1232843081155,13.0838667498592
"ak30",12.1,11.560716039215,11.4351304337224
"ak31",12,12.3874586555671,12.3690893180967
"ak32",13.9,13.6858498827577,13.6457405230254
"ak33",10.7,10.819366360079,10.925872236747
"ak34",12.2,11.8191890592472,11.9154069576797
"ak35",11.8,11.3465959597124,11.3370427414663
"ak36",10.9,11.1061329405778,11.2178808777582
"ak37",11.6,12.5837453583433,12.6583214979585
"ak38",11.6,11.5028382830461,11.5069132404102
"ak39",11.4,10.7237856220862,10.5651970239122
"ak40",13,13.2836870913211,13.2376305879613
"ak41",11.8,12.2387759961863,12.284828029294
"ak42",11.1,11.3305782195642,11.4293773607209
"ak43",11.7,11.4975576928322,11.4044118768816
"ak44",10.7,11.5577214125823,11.7480535115488
"ak45",12.8,12.3805597007238,12.3178439845988
"ak46",12.8,12.7734729301925,12.7537821946718
"ak47",13.1,12.6581424863775,12.5884805317569
"ak48",13,12.9733026082299,12.9168834557613
"ak49",12.9,12.6998409231728,12.6549482553566
"ak50",14.7,14.3626371840011,14.2657232636331
