"","Comp 1","Comp 2","Comp 3","Comp 4"
"750",0.0727040679327506,-0.0915272974713856,-0.0664065596305377,-0.0218259892116286
"752",0.0707869178606694,-0.0961797215713093,-0.0694703541774298,-0.0205634335409903
"754",0.0686326269925792,-0.101053376870718,-0.0726717305705502,-0.0191791503209257
"756",0.0662125446666414,-0.106136891524983,-0.0760013486000188,-0.0176621372856393
"758",0.0634964838721981,-0.111409946865762,-0.0794436861623144,-0.0160016127995013
"760",0.0604536705345106,-0.116841007908744,-0.0829755454972104,-0.0141876376938712
"762",0.0572387838628352,-0.122054520257935,-0.0870278132626617,-0.0151164643668477
"764",0.0546262797054877,-0.12588285597291,-0.0907724821313805,-0.0169381028097253
"766",0.0526971531116926,-0.128050211344336,-0.0942958120140833,-0.0203153846416367
"768",0.0512875590425808,-0.129103690022672,-0.0976586440252923,-0.0255080477463744
"770",0.050607738928363,-0.128901025957688,-0.100431172799495,-0.0310633731376599
"772",0.0507846520342795,-0.127400122040766,-0.102406733556567,-0.0348145027027561
"774",0.0518143576464869,-0.124651991291167,-0.103670186149716,-0.0355954878623984
"776",0.0538203599168978,-0.120378725149957,-0.104135553583456,-0.0326904166444285
"778",0.056417633455343,-0.115078405546851,-0.103617791022645,-0.0264981653885797
"780",0.0593751422500521,-0.108822925965429,-0.101771655835599,-0.01625511681371
"782",0.0622655624762617,-0.102009685029395,-0.0988246030587967,-0.00315082739072909
"784",0.0647999710737784,-0.0952554178816361,-0.0954157730055037,0.0101438561316533
"786",0.0669374085253197,-0.0889920192211264,-0.092089103667946,0.0215458917266179
"788",0.0685144158679777,-0.0839517226642825,-0.0893590586853945,0.0300438849564889
"790",0.0695689370365688,-0.0806226286479401,-0.0870878644937156,0.0362869079520318
"792",0.0703482710181829,-0.0787445178179879,-0.0847198365128233,0.0417619689651648
"794",0.0708063569851846,-0.0782736013964265,-0.082367537186274,0.0462520752789095
"796",0.0707677370498198,-0.0793518143553889,-0.0803995874512488,0.0489355278964059
"798",0.0700650456745149,-0.0821210311511117,-0.0787459331165841,0.0499381942017222
"800",0.0686621457792997,-0.0863770845682835,-0.0766194372030016,0.0516194677647944
"802",0.0663764953375034,-0.0925595967113056,-0.0735456898588727,0.0541758396747967
"804",0.0627290578186634,-0.101241863800111,-0.0695136253494738,0.056209621927424
"806",0.0566844031838414,-0.113223580730348,-0.0642286866796065,0.056745761090704
"808",0.0466642657513686,-0.129065268373042,-0.0567542275489073,0.0549962221424058
"810",0.0299915848096144,-0.149017197892746,-0.0458988184526615,0.0474455715604382
"812",0.00407777688524593,-0.167858452448,-0.0280734144106538,0.0333683695183463
"814",-0.0278789869786473,-0.172725193439734,-0.00316509871812948,0.013116400265224
"816",-0.055485664827145,-0.157656926220935,0.0216482648238244,-0.00612003585123797
"818",-0.0724539909688693,-0.133318827032234,0.0398429285267391,-0.0184275065025751
"820",-0.080733203884661,-0.111976735949413,0.051016919219406,-0.026619828696924
"822",-0.0843180060864501,-0.0956410215940031,0.0586479012600577,-0.0289708052861253
"824",-0.0853906506750422,-0.0840630447936931,0.0641468588219604,-0.0290576129557029
"826",-0.0848983913017962,-0.075914166116643,0.0686046890234538,-0.0282262755942942
"828",-0.0833114892963612,-0.0704054522129656,0.0724961094603338,-0.0271980397319191
"830",-0.0807646839560608,-0.0671043836801984,0.0761853566901558,-0.0257308307516312
"832",-0.0770807221025283,-0.0659839406994542,0.0796876386399358,-0.0241118947047614
"834",-0.0719295201474434,-0.0668731248157413,0.0830511715678634,-0.0224730200070651
"836",-0.0649749292098117,-0.0703182371624786,0.0855526107427711,-0.0219849185760571
"838",-0.0556383616875139,-0.0767874205675827,0.0862050239031033,-0.0229838483918693
"840",-0.0441114140367685,-0.0853500650384878,0.0839653686762932,-0.0252703366557962
"842",-0.0314418254494886,-0.0957477982709976,0.0767814906691782,-0.0334798593589802
"844",-0.0207007880623986,-0.106100953126252,0.0660957338719387,-0.0447472860702313
"846",-0.0135977572711056,-0.11490124850778,0.0547274644499454,-0.0569191840177499
"848",-0.010319781191044,-0.122059403612631,0.0449228412213862,-0.0692216961243673
"850",-0.00974228013912902,-0.127540919939346,0.0374599754905631,-0.0817592416286027
"852",-0.0103536799542104,-0.131592584747094,0.0321365807353051,-0.0943064602274895
"854",-0.0106332414896095,-0.133481902217866,0.0294874477423424,-0.104207564794747
"856",-0.0106554894444478,-0.13288123434197,0.0299062445503146,-0.109787089035516
"858",-0.0101710880923234,-0.130898552341479,0.0323685926501131,-0.112261288327173
"860",-0.00850334468929506,-0.127190262525799,0.0361746548183052,-0.11208431590736
"862",-0.00581195237394794,-0.121454649563998,0.0418396821920524,-0.108853786330118
"864",-0.00290913313899845,-0.114749358471512,0.0480617702122109,-0.106147853575265
"866",0.000151805868428231,-0.107351309520015,0.054680680165414,-0.102940830281942
"868",0.00408089584228473,-0.0984856064047703,0.0618922330011637,-0.0985004196235427
"870",0.00899207137243384,-0.087843239976914,0.069781129119385,-0.0920516883826096
"872",0.0149574403785851,-0.0760905846712151,0.0771873298659032,-0.0855924381770582
"874",0.0214720038862857,-0.0644186103086987,0.0834054927132245,-0.0800827845942103
"876",0.0292639969349801,-0.0518750480930089,0.0893583629317611,-0.0725416392767289
"878",0.038387295491983,-0.0384922996337311,0.0948895923140593,-0.0628112491553457
"880",0.0487804776381268,-0.0245533807417273,0.0994334362054799,-0.0519217940323193
"882",0.0596493456574451,-0.0105097227460618,0.102775213976522,-0.0404852870107339
"884",0.0705784817814405,0.0034428628125646,0.105149322476607,-0.0274627364973553
"886",0.0805972877691428,0.0163560708543347,0.106405672894485,-0.0142967607612227
"888",0.0894474683745864,0.028270727553154,0.107052123127381,-0.000790944587413411
"890",0.0966605343716748,0.0389036101586855,0.107633406436537,0.0127368048508606
"892",0.10213933497784,0.0485493876514093,0.108963305502482,0.0268360078106527
"894",0.10565996241543,0.0567535007254505,0.111046801383753,0.0394786667287573
"896",0.106683383709741,0.063260802059189,0.114560484666324,0.0495765106604202
"898",0.104906231517224,0.0690301896878327,0.121181948031547,0.0604000736330768
"900",0.0990036507317598,0.0741262816458575,0.131653388558656,0.0717988567423393
"902",0.0861251442476096,0.077836546687972,0.145743968484316,0.0818984095487237
"904",0.0615549576717866,0.0774144360065215,0.160268362065202,0.0877979559534635
"906",0.0224786757315882,0.0684683703223601,0.165427242573864,0.0829441044242274
"908",-0.0222820234287474,0.0502250829030733,0.1520247462282,0.064908453991308
"910",-0.0574436817389459,0.030791020232294,0.127453901557399,0.0422479108707424
"912",-0.0796258887631314,0.0160572337355857,0.10380112559686,0.0232947506908434
"914",-0.092826646271627,0.0063765588896449,0.0852458680071538,0.00930508025089835
"916",-0.100751733921769,0.000523502455463248,0.0716882125911735,-0.000107014927409041
"918",-0.10583385675865,-0.00282799967716411,0.0614511559274946,-0.00673597135310064
"920",-0.109236997773535,-0.0042898181212015,0.0535740894670029,-0.0104932023061718
"922",-0.111674768135925,-0.00458224879661108,0.0469960972659361,-0.01261984665689
"924",-0.113509553392989,-0.00394907957559619,0.0409007650290518,-0.0138631487663833
"926",-0.114980755678068,-0.0026519233572741,0.0346698607456046,-0.0141871891399479
