"","y.4.comps"
"(Intercept)",2.48752464384702
"750",-223.416888346817
"752",-223.416888346937
"754",-223.416888346831
"756",-223.416888346918
"758",-223.416888346849
"760",-223.416888346844
"762",-128.501820283396
"764",-58.6016483663746
"766",-44.3560189407197
"768",-10.3611149751103
"770",80.5386569199516
"772",215.819182906256
"774",327.782492284413
"776",388.285193663453
"778",427.443163076323
"780",471.912443756592
"782",466.934022667112
"784",431.670059651216
"786",405.33941004818
"788",391.745752363414
"790",400.347058050851
"792",386.35350857783
"794",328.147808559118
"796",270.129238306394
"798",233.632831725374
"800",218.240651064695
"802",158.66479433955
"804",117.973230309942
"806",83.9607553605105
"808",43.4211756676861
"810",-10.4068973516777
"812",-66.8595115207902
"814",-101.62299466019
"816",-69.1625581556949
"818",26.3834878262749
"820",161.52394968574
"822",310.168242485633
"824",467.680412695899
"826",569.913119805525
"828",608.21962875267
"830",580.223588052258
"832",508.079591993679
"834",410.182359327446
"836",298.900241068374
"838",163.585270898677
"840",29.685483129634
"842",-78.8845484013002
"844",-159.636243733664
"846",-185.684705817683
"848",-149.506946648245
"850",-70.3114430004736
"852",23.6636311294155
"854",115.42132017649
"856",165.812208675251
"858",171.347808647155
"860",169.347462834518
"862",161.799481517002
"864",166.142551051641
"866",196.651357448209
"868",236.989220526073
"870",292.493990639348
"872",341.872479873793
"874",373.094547854379
"876",412.790900649119
"878",463.644077460759
"880",534.104594619755
"882",590.309985201632
"884",618.643894530371
"886",623.638932039072
"888",612.865396370549
"890",583.974888865604
"892",510.847058902834
"894",399.446717694021
"896",285.647031349374
"898",172.37192966795
"900",55.7136197516267
"902",-66.2568672112154
"904",-169.549210500956
"906",-245.84539165366
"908",-274.794372238107
"910",-273.481668571825
"912",-249.288728348864
"914",-212.372250405979
"916",-130.785433248282
"918",-22.0028656055364
"920",99.8097700431163
"922",194.8893900424
"924",261.958451063064
"926",281.841298688868
"928",263.195778079547
"930",186.791718432974
"932",76.4524194972546
"934",-67.4170900255196
"936",-200.377128758558
"938",-318.472190606804
"940",-382.977319935009
"942",-408.811165896371
"944",-364.655037763425
"946",-234.163249208473
"948",-31.9259193121889
"950",189.855916910254
"952",399.645202862243
"954",526.867703736735
"956",563.348657672383
"958",515.733333224355
"960",391.497334686113
"962",213.400414836692
"964",25.7554405687843
"966",-111.447664514112
"968",-218.236560454795
"970",-291.4457445595
"972",-378.425602554222
"974",-446.672566533995
"976",-488.651685631653
"978",-494.10616823047
"980",-497.008642252667
"982",-471.281960630876
"984",-441.905223327441
"986",-368.195317889529
"988",-302.465009338842
"990",-249.045803654861
"992",-233.078301242449
"994",-201.184127351462
"996",-174.439968629455
"998",-152.441433920403
"1000",-148.821912264873
"1002",-151.49343234371
"1004",-169.050631645863
"1006",-166.489060975134
"1008",-179.782230913153
"1010",-190.661473143603
"1012",-210.033591558525
"1014",-224.371867406533
"1016",-223.026180393661
"1018",-217.368397496907
"1020",-205.432683971685
"1022",-195.948139371341
"1024",-170.135466826103
"1026",-138.920568884878
"1028",-117.805457359874
"1030",-101.905134698953
"1032",-91.0039153798698
"1034",-84.7946135458685
"1036",-73.5856025775859
"1038",-69.0726465745755
"1040",-50.8305385679653
"1042",-31.2003595388271
"1044",-0.760824747492119
"1046",16.4133754958915
"1048",25.5678122858915
"1050",28.4000930827637
"1052",42.445722080882
"1054",48.2730998403633
"1056",54.9807034171355
"1058",47.0571907327247
"1060",34.0770192693758
"1062",18.6516927541979
"1064",15.0555645740744
"1066",16.4492640672183
"1068",41.245577189474
"1070",66.2159588301016
"1072",128.544295764204
"1074",208.853720164985
"1076",284.904343550289
"1078",338.356449052854
"1080",372.674067688149
"1082",410.512001806129
"1084",448.877504272307
"1086",439.088364886919
"1088",321.633870317564
"1090",321.633870317548
"1092",321.633870317537
"1094",321.633870317541
"1096",321.633870317558
"1098",321.633870317526
