"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.591307609943,12.5821210446221
"ak02",13.1,13.0712013844295,13.0377935038041
"ak03",12.7,12.1032041205073,11.8121210163829
"ak04",10.2,10.2006381916702,10.3288611385197
"ak05",11.4,12.3811029790045,12.4412244461217
"ak06",10.7,10.9198047590228,11.0023981710064
"ak07",11.5,11.9090321726537,11.8867109223462
"ak08",11.6,11.4310069861452,11.4322505032457
"ak09",11.6,11.191335759966,11.1168723402782
"ak10",11.2,11.6318722621723,11.6640425640255
"ak11",13.9,13.8417214352964,13.8938008374297
"ak12",10.6,10.9599019272926,11.0742896770916
"ak13",12.4,12.2363805316246,12.1322049217593
"ak14",11.1,11.5835171326556,11.61497327582
"ak15",11.4,11.0737273953119,10.9860120373765
"ak16",12,11.9743959229445,11.9635849692469
"ak17",14.2,13.5033598587047,13.4392462516076
"ak18",12.1,11.3870321385009,11.2512413913863
"ak19",12.2,12.2890518928133,12.2377865824628
"ak20",11.5,11.3749128689708,11.3846309188773
"ak21",10.4,10.2349406955429,10.1780485354417
"ak22",11.2,11.2942341482753,11.3223007676819
"ak23",12.6,12.9002613346528,12.8876200580131
"ak24",11.7,11.6426974559387,11.6552741021068
"ak25",12.9,12.8272729615116,12.8966656083593
"ak26",12.3,12.5542859540513,12.5636732997573
"ak27",11.3,11.3398347680029,11.3472925999833
"ak28",13.8,13.6814043873269,13.6672097337207
"ak29",13.3,13.1165701448842,13.1010347305186
"ak30",12.1,11.4409000415721,11.3344713725227
"ak31",12,12.3093128820304,12.2432221325192
"ak32",13.9,13.5979142678284,13.5508004760793
"ak33",10.7,10.9014633372881,11.0321378560367
"ak34",12.2,11.9009372450675,12.0396891323764
"ak35",11.8,11.3905804332949,11.3976101554389
"ak36",10.9,11.3368829446017,11.4585831941533
"ak37",11.6,12.7707794904159,12.8661243182601
"ak38",11.6,11.5227729129086,11.4975202648061
"ak39",11.4,10.7385381263071,10.5814336856152
"ak40",13,13.2348010152399,13.1954360823365
"ak41",11.8,12.4571440222653,12.5589195816719
"ak42",11.1,11.423476939428,11.5159147800891
"ak43",11.7,11.4732173264596,11.3555093300199
"ak44",10.7,11.5431887843067,11.797231408336
"ak45",12.8,12.2838729490476,12.1711278360525
"ak46",12.8,12.7200923584126,12.6986883906222
"ak47",13.1,12.6858941662891,12.6230207336781
"ak48",13,12.9223993975362,12.8757890620505
"ak49",12.9,12.7521769405154,12.7131525903682
"ak50",14.7,14.4476452393683,14.3580230807065
