"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.579393416493,12.6388222060319
"ak02",13.1,13.2520693005905,13.2627903589482
"ak03",12.7,12.2685908074908,12.039117150922
"ak04",10.2,10.2465071668388,10.3523628021947
"ak05",11.4,12.5277915072608,12.6691044260907
"ak06",10.7,10.9698746454158,11.0403120395121
"ak07",11.5,11.8798088101563,11.8819340257599
"ak08",11.6,11.3759731350394,11.3417882834255
"ak09",11.6,11.2735130964178,11.1290112428106
"ak10",11.2,11.7174005314817,11.7832443896245
"ak11",13.9,13.8256604727852,13.849621335577
"ak12",10.6,11.0271204029436,11.1487745082297
"ak13",12.4,12.2317697175355,12.0907114151486
"ak14",11.1,11.57050719324,11.6276524477466
"ak15",11.4,11.1932270137246,11.176849833486
"ak16",12,11.8157865668762,11.7969399034822
"ak17",14.2,13.5329440673013,13.4441545171972
"ak18",12.1,11.3465252791161,11.1891373793656
"ak19",12.2,12.2495616667569,12.1093094995811
"ak20",11.5,11.3333065225418,11.3268443196849
"ak21",10.4,10.1910689661836,10.1197830321691
"ak22",11.2,11.1822909674795,11.1883812331048
"ak23",12.6,12.7429855911679,12.691737609124
"ak24",11.7,11.7014720218997,11.7064267800398
"ak25",12.9,12.9350766883291,13.0443421238358
"ak26",12.3,12.4244337354528,12.4374666103247
"ak27",11.3,11.3037550710492,11.3304829457497
"ak28",13.8,13.7709507323035,13.7674502802622
"ak29",13.3,13.136919907939,13.0666262122843
"ak30",12.1,11.6244414415352,11.5674391483994
"ak31",12,12.2990252413716,12.2796100165903
"ak32",13.9,13.6578748987455,13.6216970915641
"ak33",10.7,10.7892321719834,10.9399800722075
"ak34",12.2,11.8138589760662,11.8843822168916
"ak35",11.8,11.3037675425414,11.2569220818949
"ak36",10.9,11.267443740789,11.4236209969081
"ak37",11.6,12.6595738080525,12.7837777901584
"ak38",11.6,11.5166204611411,11.4966702404832
"ak39",11.4,10.7519730906661,10.5035207837375
"ak40",13,13.2596839250292,13.2343038215581
"ak41",11.8,12.3359502731444,12.3889124378251
"ak42",11.1,11.4150735502448,11.5322028892509
"ak43",11.7,11.5170467663184,11.4433608640652
"ak44",10.7,11.5822242062653,11.7283724168465
"ak45",12.8,12.3419622735336,12.3148425510338
"ak46",12.8,12.7025571803633,12.6752058598056
"ak47",13.1,12.6839085828052,12.6076461860206
"ak48",13,12.9112084069879,12.870737112933
"ak49",12.9,12.6450182021064,12.611665563864
"ak50",14.7,14.4152702584988,14.3008231639777
