"sample","y","yhat.cal","yhat.val"
"ak01",12.7,12.2557905341846,12.2428559713976
"ak02",11.6,11.5019341690327,11.5546500348176
"ak03",13.9,12.5007566400697,12.4884297996631
"ak04",11.1,12.6024295627457,12.6631128830828
"ak05",14.2,12.5475756460492,12.3845497112309
"ak06",11.5,12.3075307173736,12.4433659512741
"ak07",12.6,12.125425113201,12.0726840094061
"ak08",12.3,11.4185970788771,11.4157003211866
"ak09",13.3,12.2392330149451,12.1366104694261
"ak10",13.9,13.1063102804899,13.0016087863805
"ak11",11.8,11.8254130193221,11.7558024241784
"ak12",11.6,12.0962709650982,12.089646412457
"ak13",11.8,12.6809664323679,12.7882734004672
"ak14",10.7,12.7171283203725,13.0102701647538
"ak15",13.1,12.6567670983937,12.5734165670206
"ak16",14.7,13.8649035476433,13.7593912019189
"ak17",12,12.0346319202976,12.1041031103339
"ak18",11.9,12.986051582614,13.2009474628531
"ak19",10.7,11.8399157498352,11.8356449624095
"ak20",11.3,12.1914941413841,12.3801959712642
"ak21",13.4,12.9119071453624,12.8539955458743
"ak22",13.6,13.0580400293342,13.0315156541276
"ak23",12.6,12.41764209001,12.2851131452123
"ak24",13.3,12.7999845080392,12.7070404526426
"ak25",12.1,10.663662716258,10.4434971241849
"ak26",11.6,11.6735136064294,11.7295001622766
"ak27",9.3,9.59879466101034,9.63051475238362
"ak28",8.6,9.76823536397616,10.0679987488
"ak29",9.7,9.85261253965626,9.95015451928987
"ak35",13.1,12.2104211209607,12.2884437426816
"ak36",11.4,12.0020675849585,12.0300953695526
"ak37",11.5,10.3633048725322,10.0867447942797
"ak38",11.2,11.455438185201,11.4670585688851
"ak39",12.4,11.7228591524843,11.4663940248322
"ak40",12,12.1728141570577,12.1196029829373
"ak41",12.2,11.7692755714642,11.7486528536059
"ak42",11.2,10.9733847900119,11.05154020851
"ak43",12.9,13.2080486406017,13.284393689219
"ak44",13.8,12.3435743921006,12.1010532921214
"ak45",12,12.5445719451174,12.5569491374051
"ak46",12.2,12.0475038880524,12.0304746646267
"ak47",11.6,11.5160347904309,11.515887144531
"ak48",13,13.3237254028924,13.2612779541346
"ak49",11.7,11.9224723531692,11.9085135724155
"ak50",12.8,12.8357698520647,12.9729316476817
"ak51",12.9,12.5278418371955,12.5669499892978
"ak52",12.4,12.9655499281366,12.9474717252487
"ak53",11.6,12.3645556471192,12.3866712279772
"ak54",10.9,11.4545136851743,11.6081037455307
"ak55",14.9,13.6430325962308,13.5400069692977
"ak56",11.4,12.1279777577417,12.3450000591232
"ak57",12.4,12.1592683226438,12.1259613756861
"ak58",12.7,12.8352173623804,12.7679266947736
"ak59",12,11.8663243432439,11.8615804474514
"ak60",11.6,10.0594769328581,9.8567115817841
"ak61",12,11.6452922093386,11.6929497433338
"ak62",9.5,10.317537750175,10.3701302250805
"ak63",9.6,10.4609959920406,10.5961561181124
"ak64",9.6,10.2885374776609,10.5487797477895
"ak70",12.4,11.3588093006125,11.2854523845892
"ak71",10.2,11.3807000367138,11.5323921688777
"ak72",10.7,11.1058827211369,11.2207775969898
"ak73",11.6,11.4672052343167,11.494991839428
"ak74",10.6,11.5728075311253,11.6033637641702
"ak75",11.4,11.0121010289096,11.0113537303243
"ak76",12.1,10.516663713657,10.0746914527957
"ak77",10.4,10.36073574404,10.4824889278432
"ak78",11.7,11.6747494334397,11.6652320784574
"ak79",11.3,11.7169626545099,11.5783398441089
"ak80",12.1,12.2573708733776,12.2554800367902
"ak81",10.7,11.1209765552842,11.0660208589598
"ak82",10.9,11.43480642602,11.5027828240818
"ak83",11.4,12.0842573947238,12.1225161445035
"ak84",11.1,11.4878744158645,11.5100631624492
"ak85",12.8,12.3705833362702,12.3576143420781
"ak86",13,12.0595698864266,11.9483989676346
"ak87",10,10.4296018585045,10.583567244216
"ak88",9.6,11.6819728449943,11.9389899019635
"ak89",10.1,10.6393274077237,10.8029640809489
"ak90",12.5,11.7300732562236,11.6791110337555
"ak91",12.6,12.0508065793927,11.9743801406292
"ak92",12.4,12.8243786492843,12.9442904834064
"ak93",12.3,12.6916415028317,12.2949118342451
"ak94",11.4,11.2923726742408,11.3492671190938
"ak95",11.7,9.4508393120094,9.01159541829667
"ak96",11.6,11.3082073394233,11.0437498478944
"ak97",9,9.42077706868739,9.51569567426893
"ak98",8.3,9.87475383741286,10.1627156914
"ak99",9.1,8.65228464743089,8.49629455025156
